base_family_key,micro_skill_key,base_word,base_meaning,validation_status,eligible_authentic_target_count,eligible_authentic_targets,eligible_transfer_count,eligible_transfer_pool,proposed_six_word_lesson,family_member_details,blocking_reasons,human_review_status,human_review_notes
care_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,care,to look after someone or something,requires_mixed_family_targets,2,careful ; careless,1,care,careful | authentic_target | care + ful → careful | taking care to avoid mistakes or danger | Be careful near the deep pond. ; careless | authentic_target | care + less → careless | without enough care | A careless spill made a puddle. ; care | base | care | to feel concern for someone or something | The nurse treated his cut with care.,care | base | care | to feel concern for someone or something | The nurse treated his cut with care. || careful | authentic_target | care + ful → careful | taking care to avoid mistakes or danger | Be careful near the deep pond. || careless | authentic_target | care + less → careless | without enough care | A careless spill made a puddle.,requires four eligible base/transfer words for a standalone family lesson,,
carry_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,carry,to hold and move something,requires_mixed_family_targets,2,carried ; carries,1,carry,carried | authentic_target | carry + ed → carried | held and moved something earlier | Sam carried the heavy bag. ; carries | authentic_target | carry + es → carries | holds and moves something | The ant carries a crumb home. ; carry | base | carry | to hold and move something | Please carry the small box to the table.,carried | authentic_target | carry + ed → carried | held and moved something earlier | Sam carried the heavy bag. || carries | authentic_target | carry + es → carries | holds and moves something | The ant carries a crumb home. || carry | base | carry | to hold and move something | Please carry the small box to the table.,requires four eligible base/transfer words for a standalone family lesson,,
cat_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,cat,a small pet animal,requires_mixed_family_targets,1,cats,1,cat,cats | authentic_target | cat + s → cats | more than one cat | The cats chased leaves around the garden. ; cat | base | cat | a small pet animal with fur and whiskers | The dog chased the cat around the park.,cat | base | cat | a small pet animal with fur and whiskers | The dog chased the cat around the park. || cats | authentic_target | cat + s → cats | more than one cat | The cats chased leaves around the garden.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
child_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,child,a young person,requires_mixed_family_targets,1,children,1,child,children | authentic_target | child + ren → children | more than one child | Children play football in the playground. ; child | base | child | a young person | The child smiled and waved to us.,child | base | child | a young person | The child smiled and waved to us. || children | authentic_target | child + ren → children | more than one child | Children play football in the playground.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
city_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,city,a large town,requires_mixed_family_targets,1,cities,1,city,"cities | authentic_target | city + es → cities | more than one city | Large cities have many streets, buildings and people. ; city | base | city | a large town | We met near the city after lunch.","cities | authentic_target | city + es → cities | more than one city | Large cities have many streets, buildings and people. || city | base | city | a large town | We met near the city after lunch.",requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
clean_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,clean,not dirty,requires_mixed_family_targets,1,cleaned,1,clean,cleaned | authentic_target | clean + ed → cleaned | made something clean earlier | Mia cleaned the muddy table with a cloth. ; clean | base | clean | not dirty | The plate was clean after we washed away the dirt.,clean | base | clean | not dirty | The plate was clean after we washed away the dirt. || cleaned | authentic_target | clean + ed → cleaned | made something clean earlier | Mia cleaned the muddy table with a cloth.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
copy_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,copy,to make the same as something else,requires_mixed_family_targets,1,copied,1,copy,copied | authentic_target | copy + ed → copied | made something like another thing earlier | Sam copied the sentence neatly into his book. ; copy | base | copy | to make something like another thing | Please copy the sentence into your book.,copied | authentic_target | copy + ed → copied | made something like another thing earlier | Sam copied the sentence neatly into his book. || copy | base | copy | to make something like another thing | Please copy the sentence into your book.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
cry_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,cry,to make tears,requires_mixed_family_targets,2,cried ; cries,1,cry,cried | authentic_target | cry + ed → cried | had tears come from your eyes earlier | The baby cried for her mum. ; cries | authentic_target | cry + es → cries | has tears come from their eyes | The baby cries when she is tired. ; cry | base | cry | to have tears come from your eyes | Please cry if you feel hurt or upset.,cried | authentic_target | cry + ed → cried | had tears come from your eyes earlier | The baby cried for her mum. || cries | authentic_target | cry + es → cries | has tears come from their eyes | The baby cries when she is tired. || cry | base | cry | to have tears come from your eyes | Please cry if you feel hurt or upset.,requires four eligible base/transfer words for a standalone family lesson,,
danger_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,danger,the possibility of harm,requires_mixed_family_targets,1,dangerous,1,danger,"dangerous | authentic_target | danger + ous → dangerous | likely to cause harm | The broken bridge was dangerous, so nobody crossed it. ; danger | base | danger | the chance that someone or something may be harmed | The warning sign told us about danger near the deep water.","danger | base | danger | the chance that someone or something may be harmed | The warning sign told us about danger near the deep water. || dangerous | authentic_target | danger + ous → dangerous | likely to cause harm | The broken bridge was dangerous, so nobody crossed it.",requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
define_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,define,to explain the meaning of a word,requires_mixed_family_targets,1,definition,1,define,definition | authentic_target | define + ition → definition | an explanation that tells what a word or idea means | A definition explains what a word means. ; define | base | define | to explain exactly what a word or idea means | Please define the new word in simple language.,define | base | define | to explain exactly what a word or idea means | Please define the new word in simple language. || definition | authentic_target | define + ition → definition | an explanation that tells what a word or idea means | A definition explains what a word means.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
die_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,die,to stop living,requires_mixed_family_targets,1,dying,1,die,dying | authentic_target | die → dying | coming to the end of life | The plant was dying because it had no water. ; die | base | die | to stop being alive | Leaves can die without water.,die | base | die | to stop being alive | Leaves can die without water. || dying | authentic_target | die → dying | coming to the end of life | The plant was dying because it had no water.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
dog_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,dog,a common pet animal,requires_mixed_family_targets,1,dogs,1,dog,dogs | authentic_target | dog + s → dogs | more than one dog | The dogs wagged their tails when we arrived. ; dog | base | dog | a pet animal that barks | The dog chased the cat around the park.,dog | base | dog | a pet animal that barks | The dog chased the cat around the park. || dogs | authentic_target | dog + s → dogs | more than one dog | The dogs wagged their tails when we arrived.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
face_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,face,the front part of a head,requires_mixed_family_targets,1,facial,1,face,facial | authentic_target | face + ial → facial | to do with the face | Her facial expression showed surprise. ; face | base | face | the front part of a person's head | Sam hurt his face during the game.,face | base | face | the front part of a person's head | Sam hurt his face during the game. || facial | authentic_target | face + ial → facial | to do with the face | Her facial expression showed surprise.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
fair_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,fair,equal and right,requires_mixed_family_targets,1,unfair,1,fair,unfair | authentic_target | un + fair → unfair | not fair; not treating people equally or properly | It was unfair when one child had three turns and another had none. ; fair | base | fair | treating people equally and properly | It was fair because each child had the same number of turns.,fair | base | fair | treating people equally and properly | It was fair because each child had the same number of turns. || unfair | authentic_target | un + fair → unfair | not fair; not treating people equally or properly | It was unfair when one child had three turns and another had none.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
fast_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,fast,quick,requires_mixed_family_targets,2,faster ; fastest,1,fast,faster | authentic_target | fast + er → faster | moving more quickly | The fast rabbit ran faster than the fox and was the fastest animal. ; fastest | authentic_target | fast + est → fastest | moving most quickly | The fast rabbit ran faster than the fox and was the fastest animal. ; fast | base | fast | moving quickly | The fast rabbit ran faster than the fox and was the fastest animal.,fast | base | fast | moving quickly | The fast rabbit ran faster than the fox and was the fastest animal. || faster | authentic_target | fast + er → faster | moving more quickly | The fast rabbit ran faster than the fox and was the fastest animal. || fastest | authentic_target | fast + est → fastest | moving most quickly | The fast rabbit ran faster than the fox and was the fastest animal.,requires four eligible base/transfer words for a standalone family lesson,,
foot_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,foot,the part at the end of a leg,requires_mixed_family_targets,0,,1,foot,foot | base | foot | the part at the end of your leg that you stand on | Sam hurt his foot during the game.,foot | base | foot | the part at the end of your leg that you stand on | Sam hurt his foot during the game.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
go_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,go,to move from one place to another,requires_mixed_family_targets,1,goes,1,go,goes | authentic_target | go + es → goes | moves from one place to another | The bus goes past our house. ; go | base | go | to move from one place to another | We go to the park after school.,go | base | go | to move from one place to another | We go to the park after school. || goes | authentic_target | go + es → goes | moves from one place to another | The bus goes past our house.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
grab_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,grab,to take hold of quickly,requires_mixed_family_targets,1,grabbed,1,grab,grabbed | authentic_target | grab + ed → grabbed | took hold of something quickly earlier | Mia grabbed the rope before it fell. ; grab | base | grab | to take hold of something quickly | Please grab the rope before it falls.,grab | base | grab | to take hold of something quickly | Please grab the rope before it falls. || grabbed | authentic_target | grab + ed → grabbed | took hold of something quickly earlier | Mia grabbed the rope before it fell.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
graph_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,graph,"to write, draw, or record information",requires_mixed_family_targets,2,geography ; graphic,3,graph ; photograph ; photography,"geography | authentic_target | geo + graph + y → geography | learning about the Earth, its places, and its people | Geography teaches us about places, people and the earth. ; graphic | authentic_target | graph + ic → graphic | shown using pictures or diagrams | The graphic showed the results clearly. ; graph | base | graph | a diagram that shows information | A graph displays information using lines, bars or points. ; photograph | transfer | photo + graph → photograph | a picture made using light and a camera | A photograph is a picture made with a camera. ; photography | transfer | photo + graph + y → photography | the art of making pictures using light and a camera | Photography is the art of taking pictures with a camera.","geography | authentic_target | geo + graph + y → geography | learning about the Earth, its places, and its people | Geography teaches us about places, people and the earth. || graph | base | graph | a diagram that shows information | A graph displays information using lines, bars or points. || graphic | authentic_target | graph + ic → graphic | shown using pictures or diagrams | The graphic showed the results clearly. || photograph | transfer | photo + graph → photograph | a picture made using light and a camera | A photograph is a picture made with a camera. || photography | transfer | photo + graph + y → photography | the art of making pictures using light and a camera | Photography is the art of taking pictures with a camera.",requires four eligible base/transfer words for a standalone family lesson,,
grow_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,grow,to become bigger,requires_mixed_family_targets,1,grown,1,grow,grown | authentic_target | grow + n → grown | become bigger or developed | The tiny seed had grown into a tall plant. ; grow | base | grow | to become bigger or develop | Please grow a bean plant on the windowsill.,grow | base | grow | to become bigger or develop | Please grow a bean plant on the windowsill. || grown | authentic_target | grow + n → grown | become bigger or developed | The tiny seed had grown into a tall plant.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
happy_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,happy,feeling pleased,requires_mixed_family_targets,2,happier ; happiness,2,happy ; unhappy,"happier | authentic_target | happy + er → happier | feeling more pleased or glad | Mia felt happy after lunch and even happier when her friend arrived. ; happiness | authentic_target | happy + ness → happiness | the state of being happy | Winning was fun, but helping her friend brought greater happiness. ; happy | base | happy | feeling pleased or glad | Mia felt happy after lunch and even happier when her friend arrived. ; unhappy | transfer | un + happy → unhappy | not happy; feeling sad or not pleased | The lost child felt unhappy and began to cry.","happier | authentic_target | happy + er → happier | feeling more pleased or glad | Mia felt happy after lunch and even happier when her friend arrived. || happiness | authentic_target | happy + ness → happiness | the state of being happy | Winning was fun, but helping her friend brought greater happiness. || happy | base | happy | feeling pleased or glad | Mia felt happy after lunch and even happier when her friend arrived. || unhappy | transfer | un + happy → unhappy | not happy; feeling sad or not pleased | The lost child felt unhappy and began to cry.",requires four eligible base/transfer words for a standalone family lesson,,
help_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,help,to make a task easier for someone,requires_mixed_family_targets,1,helpful,1,help,helpful | authentic_target | help + ful → helpful | giving help or being useful | Mia was helpful and carried the books for her teacher. ; help | base | help | to make something easier for someone | Please help your friend carry the books.,help | base | help | to make something easier for someone | Please help your friend carry the books. || helpful | authentic_target | help + ful → helpful | giving help or being useful | Mia was helpful and carried the books for her teacher.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
hop_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,hop,to jump on one foot,requires_mixed_family_targets,1,hopped,1,hop,hopped | authentic_target | hop + ed → hopped | jumped on one foot earlier | A rabbit hopped through the garden. ; hop | base | hop | to jump on one foot | Please hop on one foot to the line.,hop | base | hop | to jump on one foot | Please hop on one foot to the line. || hopped | authentic_target | hop + ed → hopped | jumped on one foot earlier | A rabbit hopped through the garden.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
hope_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,hope,to wish for something to happen,requires_mixed_family_targets,2,hoped ; hopeful,3,hope ; hopeless ; hoping,hoped | authentic_target | hope + d → hoped | wanted something good to happen earlier | We hoped the rain would stop before the picnic. ; hopeful | authentic_target | hope + ful → hopeful | full of hope that something good may happen | We felt hopeful that the missing dog would come home. ; hope | base | hope | to want something good to happen | We hope the sun will shine tomorrow. ; hopeless | transfer | hope + less → hopeless | without hope of a good result | The broken toy seemed hopeless until Dad found the missing part. ; hoping | transfer | hope + ing → hoping | wanting something good to happen right now | We were hoping for sunshine on sports day.,hope | base | hope | to want something good to happen | We hope the sun will shine tomorrow. || hoped | authentic_target | hope + d → hoped | wanted something good to happen earlier | We hoped the rain would stop before the picnic. || hopeful | authentic_target | hope + ful → hopeful | full of hope that something good may happen | We felt hopeful that the missing dog would come home. || hopeless | transfer | hope + less → hopeless | without hope of a good result | The broken toy seemed hopeless until Dad found the missing part. || hoping | transfer | hope + ing → hoping | wanting something good to happen right now | We were hoping for sunshine on sports day.,requires four eligible base/transfer words for a standalone family lesson,,
hot_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,hot,having a lot of heat,requires_mixed_family_targets,2,hotter ; hottest,1,hot,"hotter | authentic_target | hot + er → hotter | having a higher temperature | The hot sand grew hotter at noon, the hottest part of the day. ; hottest | authentic_target | hot + est → hottest | having the highest temperature | The hot sand grew hotter at noon, the hottest part of the day. ; hot | base | hot | having a high temperature | The hot sand grew hotter at noon, the hottest part of the day.","hot | base | hot | having a high temperature | The hot sand grew hotter at noon, the hottest part of the day. || hotter | authentic_target | hot + er → hotter | having a higher temperature | The hot sand grew hotter at noon, the hottest part of the day. || hottest | authentic_target | hot + est → hottest | having the highest temperature | The hot sand grew hotter at noon, the hottest part of the day.",requires four eligible base/transfer words for a standalone family lesson,,
inform_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,inform,to tell someone facts,requires_mixed_family_targets,1,information,1,inform,information | authentic_target | inform + ation → information | facts that tell you about something | The sign gave us information about opening times. ; inform | base | inform | to tell someone facts or news | Please inform an adult if you are hurt.,inform | base | inform | to tell someone facts or news | Please inform an adult if you are hurt. || information | authentic_target | inform + ation → information | facts that tell you about something | The sign gave us information about opening times.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
joy_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,joy,a feeling of great happiness,requires_mixed_family_targets,2,enjoy ; enjoyable,2,enjoyment ; joy,enjoy | authentic_target | en + joy → enjoy | to take pleasure in something | Please enjoy the story with your family. ; enjoyable | authentic_target | en + joy + able → enjoyable | pleasant and fun | The funny film was enjoyable and made us smile. ; enjoyment | transfer | en + joy + ment → enjoyment | the feeling of enjoying something | Her smile showed her enjoyment of the game. ; joy | base | joy | a feeling of great happiness | The surprise puppy filled the family with joy.,enjoy | authentic_target | en + joy → enjoy | to take pleasure in something | Please enjoy the story with your family. || enjoyable | authentic_target | en + joy + able → enjoyable | pleasant and fun | The funny film was enjoyable and made us smile. || enjoyment | transfer | en + joy + ment → enjoyment | the feeling of enjoying something | Her smile showed her enjoyment of the game. || joy | base | joy | a feeling of great happiness | The surprise puppy filled the family with joy.,requires four eligible base/transfer words for a standalone family lesson,,
jump_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,jump,to push yourself into the air,requires_mixed_family_targets,2,jumped ; jumping,2,jump ; jumps,jumped | authentic_target | jump + ed → jumped | pushed yourself into the air earlier | The frog jumped from the bank into the pond. ; jumping | authentic_target | jump + ing → jumping | pushing yourself into the air right now | The children were jumping over the little puddles. ; jump | base | jump | to push yourself into the air | Please jump over the little puddle. ; jumps | transfer | jump + s → jumps | pushes itself into the air | The frog jumps from the rock into the pond.,jump | base | jump | to push yourself into the air | Please jump over the little puddle. || jumped | authentic_target | jump + ed → jumped | pushed yourself into the air earlier | The frog jumped from the bank into the pond. || jumping | authentic_target | jump + ing → jumping | pushing yourself into the air right now | The children were jumping over the little puddles. || jumps | transfer | jump + s → jumps | pushes itself into the air | The frog jumps from the rock into the pond.,requires four eligible base/transfer words for a standalone family lesson,,
kind_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,kind,caring and friendly,requires_mixed_family_targets,2,kindness ; unkind,1,kind,kindness | authentic_target | kind + ness → kindness | the quality of being kind | Mia showed kindness by helping the new pupil. ; unkind | authentic_target | un + kind → unkind | not kind; not caring or helpful to others | It is unkind to leave someone out. ; kind | base | kind | caring and helpful to others | Sam was kind and shared his lunch with a friend.,kind | base | kind | caring and helpful to others | Sam was kind and shared his lunch with a friend. || kindness | authentic_target | kind + ness → kindness | the quality of being kind | Mia showed kindness by helping the new pupil. || unkind | authentic_target | un + kind → unkind | not kind; not caring or helpful to others | It is unkind to leave someone out.,requires four eligible base/transfer words for a standalone family lesson,,
knife_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,knife,a tool with a sharp blade,requires_mixed_family_targets,1,knives,1,knife,knives | authentic_target | knife → knives | more than one knife | The sharp knives were kept safely away from children. ; knife | base | knife | a tool with a sharp blade for cutting | We used the knife while preparing lunch.,knife | base | knife | a tool with a sharp blade for cutting | We used the knife while preparing lunch. || knives | authentic_target | knife → knives | more than one knife | The sharp knives were kept safely away from children.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
large_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,large,big,requires_mixed_family_targets,2,larger ; largest,1,large,"larger | authentic_target | large + r → larger | more large in size | A large box sat inside a larger box, which was inside the largest box. ; largest | authentic_target | large + st → largest | most large in size | A large box sat inside a larger box, which was inside the largest box. ; large | base | large | large in size | A large box sat inside a larger box, which was inside the largest box.","large | base | large | large in size | A large box sat inside a larger box, which was inside the largest box. || larger | authentic_target | large + r → larger | more large in size | A large box sat inside a larger box, which was inside the largest box. || largest | authentic_target | large + st → largest | most large in size | A large box sat inside a larger box, which was inside the largest box.",requires four eligible base/transfer words for a standalone family lesson,,
late_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,late,after the expected time,requires_mixed_family_targets,2,later ; latest,1,late,later | authentic_target | late + r → later | after a particular time | We can finish the game later. ; latest | authentic_target | late + st → latest | most recent | The latest bus is the last one to arrive. ; late | base | late | after the expected or usual time | The bus was late and arrived after the expected time.,late | base | late | after the expected or usual time | The bus was late and arrived after the expected time. || later | authentic_target | late + r → later | after a particular time | We can finish the game later. || latest | authentic_target | late + st → latest | most recent | The latest bus is the last one to arrive.,requires four eligible base/transfer words for a standalone family lesson,,
laugh_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,laugh,to make a happy sound,requires_mixed_family_targets,1,laughed,1,laugh,laughed | authentic_target | laugh + ed → laughed | made a happy sound because something was funny earlier | The children laughed at the funny joke. ; laugh | base | laugh | to make a happy sound because something is funny | Please laugh at the funny part of the story.,laugh | base | laugh | to make a happy sound because something is funny | Please laugh at the funny part of the story. || laughed | authentic_target | laugh + ed → laughed | made a happy sound because something was funny earlier | The children laughed at the funny joke.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
lie_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,lie,to rest flat,requires_mixed_family_targets,1,lying,1,lie,lying | authentic_target | lie → lying | resting flat | The puppy was lying on the rug. ; lie | base | lie | to rest flat | Please lie on the rug and rest.,lie | base | lie | to rest flat | Please lie on the rug and rest. || lying | authentic_target | lie → lying | resting flat | The puppy was lying on the rug.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
