micro_skill_key,content_version,version_status,is_active,teaching_objective,child_friendly_explanation,rule_explanation,memory_tip,anchor_word_key,ordered_example_word_keys,contrast_word_keys,common_misconceptions,first_exposure_progression,review_progression,source_category,source_name,source_url,source_licence,source_use_note,confidence,supersedes_content_version,final_readiness_review_status,final_readiness_reviewed_by,final_readiness_reviewed_at
D4_PG_CONSONANT_DIGRAPHS_TH_VOICED,draft_source_intake_v1,draft,FALSE,Draft objective: Spell voiced /th/ with `th`.,Draft for review: notice the spelling pattern in this and compare it with the examples.,A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,this_en_gb,this_en_gb|that_en_gb|then_en_gb|they_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_DIGRAPHS_WH_INITIAL,draft_source_intake_v1,draft,FALSE,Draft objective: Spell initial /w/ with `wh`.,Draft for review: notice the spelling pattern in when and compare it with the examples.,A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,when_en_gb,when_en_gb|what_en_gb|where_en_gb|whip_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_DIGRAPHS_NG_FINAL,draft_source_intake_v1,draft,FALSE,Draft objective: Spell final /ng/ with `ng`.,Draft for review: notice the spelling pattern in sing and compare it with the examples.,A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,sing_en_gb,sing_en_gb|ring_en_gb|long_en_gb|song_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_DIGRAPHS_NK_FINAL,draft_source_intake_v1,draft,FALSE,Draft objective: Spell final /nk/ with `nk`.,Draft for review: notice the spelling pattern in bank and compare it with the examples.,A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,bank_en_gb,bank_en_gb|sink_en_gb|pink_en_gb|junk_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_DIGRAPHS_QU_KW,draft_source_intake_v1,draft,FALSE,Draft objective: Spell /kw/ with `qu`.,Draft for review: notice the spelling pattern in queen and compare it with the examples.,A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,queen_en_gb,queen_en_gb|quick_en_gb|quiz_en_gb|quack_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_BLENDS_INITIAL_L,draft_source_intake_v1,draft,FALSE,Draft objective: Preserve initial l-blends.,Draft for review: notice the spelling pattern in black and compare it with the examples.,"In a blend, each consonant sound must be represented in the correct order; the child should spell both consonant sounds without omitting or reversing them.",,black_en_gb,black_en_gb|clap_en_gb|flag_en_gb|play_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_BLENDS_INITIAL_R,draft_source_intake_v1,draft,FALSE,Draft objective: Preserve initial r-blends.,Draft for review: notice the spelling pattern in brush and compare it with the examples.,"In a blend, each consonant sound must be represented in the correct order; the child should spell both consonant sounds without omitting or reversing them.",,brush_en_gb,brush_en_gb|crab_en_gb|frog_en_gb|train_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_BLENDS_INITIAL_S,draft_source_intake_v1,draft,FALSE,Draft objective: Preserve initial s-blends.,Draft for review: notice the spelling pattern in spin and compare it with the examples.,"In a blend, each consonant sound must be represented in the correct order; the child should spell both consonant sounds without omitting or reversing them.",,spin_en_gb,spin_en_gb|stop_en_gb|skip_en_gb|swim_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_BLENDS_FINAL_COMMON,draft_source_intake_v1,draft,FALSE,Draft objective: Preserve common final consonant blends.,Draft for review: notice the spelling pattern in hand and compare it with the examples.,"In final blends, each consonant sound at the end of the word must be represented; the child should avoid dropping the final consonant.",,hand_en_gb,hand_en_gb|went_en_gb|best_en_gb|desk_en_gb|milk_en_gb|help_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_BLENDS_THREE_LETTER_INITIAL,draft_source_intake_v1,draft,FALSE,Draft objective: Preserve three-letter initial blends.,Draft for review: notice the spelling pattern in scrap and compare it with the examples.,"In three-letter blends, all three consonant sounds must be represented in the correct order.",,scrap_en_gb,scrap_en_gb|splash_en_gb|string_en_gb|spray_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_BLENDS_LONGER_WORDS,draft_source_intake_v1,draft,FALSE,Draft objective: Preserve consonant blends in longer words.,Draft for review: notice the spelling pattern in basket and compare it with the examples.,"Consonant blends must still be preserved inside longer words, not only in short one-syllable words.",,basket_en_gb,basket_en_gb|window_en_gb|plastic_en_gb|garden_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_AI_FINAL_AY,draft_source_intake_v1,draft,FALSE,Draft objective: Spell final /ai/ with ay.,Draft for review: notice the spelling pattern in day and compare it with the examples.,The long /ai/ sound can be spelled in different ways; children should learn that ay is commonly used at the end of words or syllables.,,day_en_gb,day_en_gb|play_en_gb|say_en_gb|stay_en_gb|tray_en_gb|may_en_gb|clay_en_gb,plain_en_gb|rain_en_gb|stain_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_AI_MEDIAL_AI,draft_source_intake_v1,draft,FALSE,Draft objective: Spell medial /ai/ with ai.,Draft for review: notice the spelling pattern in rain and compare it with the examples.,"The long /ai/ sound can be spelled with ai, especially in the middle of words.",,rain_en_gb,rain_en_gb|train_en_gb|paint_en_gb|snail_en_gb|chain_en_gb|tail_en_gb|plain_en_gb,ray_en_gb|tray_en_gb|pane_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_AI_SPLIT_A_E,draft_source_intake_v1,draft,FALSE,Draft objective: Spell split digraph /ai/ with a-e.,Draft for review: notice the spelling pattern in make and compare it with the examples.,"A split digraph can make the vowel long; in a-e words, the final e helps signal the long /ai/ sound.",,make_en_gb,make_en_gb|cake_en_gb|same_en_gb|late_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_AI_EIGH,draft_source_intake_v1,draft,FALSE,Draft objective: Spell /ai/ with eigh.,Draft for review: notice the spelling pattern in eight and compare it with the examples.,Some common words spell the long /ai/ sound with eigh.,,eight_en_gb,eight_en_gb|weigh_en_gb|neighbour_en_gb|sleigh_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_AI_EY,draft_source_intake_v1,draft,FALSE,Draft objective: Spell /ai/ with ey in common words.,Draft for review: notice the spelling pattern in they and compare it with the examples.,Some common words spell the long /ai/ sound with ey; these are best learned as a small pattern group.,,they_en_gb,they_en_gb|grey_en_gb|prey_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_AI_OPEN_A,draft_source_intake_v1,draft,FALSE,Draft objective: Spell open-syllable long /ai/ with a.,Draft for review: notice the spelling pattern in baby and compare it with the examples.,"In open syllables, a single a can represent the long /ai/ sound.",,baby_en_gb,baby_en_gb|paper_en_gb|table_en_gb|later_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_EE_EE,draft_source_intake_v1,draft,FALSE,Draft objective: Spell long /ee/ with ee.,Draft for review: notice the spelling pattern in see and compare it with the examples.,"The long /ee/ sound can be spelled with ee, commonly in the middle or end of words.",,see_en_gb,see_en_gb|tree_en_gb|green_en_gb|sleep_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_EE_EA,draft_source_intake_v1,draft,FALSE,Draft objective: Spell long /ee/ with ea.,Draft for review: notice the spelling pattern in team and compare it with the examples.,The long /ee/ sound can be spelled with ea; children need to learn this as a common alternative spelling.,,team_en_gb,team_en_gb|leaf_en_gb|read_en_gb|clean_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_EE_Y_FINAL,draft_source_intake_v1,draft,FALSE,Draft objective: Spell final /ee/ with y.,Draft for review: notice the spelling pattern in happy and compare it with the examples.,"At the end of many words, the /ee/ sound is spelled with final y.",,happy_en_gb,happy_en_gb|funny_en_gb|baby_en_gb|story_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_EE_E_OPEN,draft_source_intake_v1,draft,FALSE,Draft objective: Spell open-syllable /ee/ with e.,Draft for review: notice the spelling pattern in he and compare it with the examples.,"In open syllables, a single e can represent the long /ee/ sound.",,he_en_gb,he_en_gb|me_en_gb|we_en_gb|even_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_EE_IE,draft_source_intake_v1,draft,FALSE,Draft objective: Spell /ee/ with ie.,Draft for review: notice the spelling pattern in chief and compare it with the examples.,Some words spell the long /ee/ sound with ie.,,chief_en_gb,chief_en_gb|field_en_gb|piece_en_gb|shield_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_EE_EI,draft_source_intake_v1,draft,FALSE,Draft objective: Spell /ee/ with ei.,Draft for review: notice the spelling pattern in ceiling and compare it with the examples.,"Some words spell the long /ee/ sound with ei, often in learned or common vocabulary.",,ceiling_en_gb,ceiling_en_gb|receive_en_gb|protein_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_EE_EY,draft_source_intake_v1,draft,FALSE,Draft objective: Spell final /ee/ with ey.,Draft for review: notice the spelling pattern in key and compare it with the examples.,Some words spell final /ee/ with ey.,,key_en_gb,key_en_gb|money_en_gb|honey_en_gb|donkey_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_IGH_IGH,draft_source_intake_v1,draft,FALSE,Draft objective: Spell /igh/ with igh.,Draft for review: notice the spelling pattern in night and compare it with the examples.,"The long /igh/ sound can be spelled with igh, commonly before final consonants.",,night_en_gb,night_en_gb|light_en_gb|bright_en_gb|sigh_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_IGH_I_E,draft_source_intake_v1,draft,FALSE,Draft objective: Spell /igh/ with i-e.,Draft for review: notice the spelling pattern in bike and compare it with the examples.,"A split digraph can make the vowel long; in i-e words, the final e helps signal the long /igh/ sound.",,bike_en_gb,bike_en_gb|time_en_gb|smile_en_gb|kite_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_IGH_Y_FINAL,draft_source_intake_v1,draft,FALSE,Draft objective: Spell final /igh/ with y.,Draft for review: notice the spelling pattern in my and compare it with the examples.,"At the end of many short words, the /igh/ sound is spelled with final y.",,my_en_gb,my_en_gb|try_en_gb|fly_en_gb|cry_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_IGH_IE_FINAL,draft_source_intake_v1,draft,FALSE,Draft objective: Spell final /igh/ with ie.,Draft for review: notice the spelling pattern in pie and compare it with the examples.,Some words spell final /igh/ with ie.,,pie_en_gb,pie_en_gb|tie_en_gb|lie_en_gb|die_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_IGH_OPEN_I,draft_source_intake_v1,draft,FALSE,Draft objective: Spell open-syllable /igh/ with i.,Draft for review: notice the spelling pattern in tiger and compare it with the examples.,"In open syllables, a single i can represent the long /igh/ sound.",,tiger_en_gb,tiger_en_gb|pilot_en_gb|silent_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_IGH_IGH_BEFORE_T,draft_source_intake_v1,draft,FALSE,Draft objective: Spell igh before t.,Draft for review: notice the spelling pattern in night and compare it with the examples.,Many common /igh/ words before final /t/ are spelled with igh.,,night_en_gb,night_en_gb|light_en_gb|right_en_gb|fight_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_LONG_OA_OA,draft_source_intake_v1,draft,FALSE,Draft objective: Spell long /oa/ with oa.,Draft for review: notice the spelling pattern in boat and compare it with the examples.,"The long /oa/ sound can be spelled with oa, commonly in the middle of words.",,boat_en_gb,boat_en_gb|coat_en_gb|road_en_gb|toast_en_gb|goat_en_gb|loaf_en_gb|float_en_gb,rode_en_gb|cot_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
