supplement_id,target_classification,target_subtype,observed_member_in_ai_draft,intended_alternative_if_invalid,human_authored_passage,notes
there-quota-036,VALID,passive_contraction,they’re,,The organiser confirmed they’re asked to wait outside. Nobody needed to remind them again.,
there-quota-037,VALID,passive_contraction,they’re,,"The organiser confirmed they’re meant to bring a pencil. A few minutes later, everyone was ready to move on.",
there-quota-038,VALID,passive_contraction,they’re,,The organiser confirmed they’re scheduled to leave at four. They finished before the bell rang.,
there-quota-039,VALID,passive_contraction,they’re,,"The organiser confirmed they’re required to wear helmets. A few minutes later, everyone was ready to move on.",
there-quota-040,VALID,passive_contraction,they’re,,The organiser confirmed they’re invited to join the rehearsal. Everyone else continued with their own work.,
there-quota-041,VALID,passive_contraction,they’re,,The organiser confirmed they’re prepared to present first. The room was much calmer once they had settled down.,
there-quota-042,VALID,passive_contraction,they’re,,The organiser confirmed they’re due to arrive before six. Everyone else continued with their own work.,
there-quota-043,VALID,passive_contraction,they’re,,The organiser confirmed they’re expected to finish before lunch. The rest of the class carried on with the next task.,
there-quota-044,VALID,passive_contraction,they’re,,The organiser confirmed they’re required to sign in at reception. The group had plenty of time before the next lesson.,
there-quota-045,VALID,passive_contraction,they’re,,The organiser confirmed they’re asked to carry the boxes carefully. The rest of the class carried on with the next task.,
there-quota-046,INVALID,passive_contraction,their,they're,"The organiser confirmed their supposed to stay with their group. A few minutes later, everyone was ready to move on.",
there-quota-047,INVALID,passive_contraction,there,they're,The organiser confirmed there allowed to start once the bell rings. The group had plenty of time before the next lesson.,
there-quota-048,INVALID,passive_contraction,their,they're,The organiser confirmed their meant to check the answer twice. The room was much calmer once they had settled down.,
there-quota-049,INVALID,passive_contraction,there,they're,The organiser confirmed there scheduled to practise after school. The room was much calmer once they had settled down.,
there-quota-050,INVALID,passive_contraction,their,they're,The organiser confirmed their required to wear safety glasses. They finished before the bell rang.,
there-quota-051,INVALID,passive_contraction,there,they're,"The organiser confirmed there invited to speak at assembly. A few minutes later, everyone was ready to move on.",
there-quota-052,INVALID,passive_contraction,their,they're,The organiser confirmed their expected to arrive before the doors close. The rest of the class carried on with the next task.,
