word_key,normalised_word,display_word,match_type,matched_forms,selection_reason,morpholex_segments,morpholex_pos,morpholex_nmorph,morpholex_prs_signature,derived_morphemes,derived_morphology_notes,confidence,review_status,needs_human_review_note
air_en_gb,air,air,exact,air,Exact MorphoLex row used.,{(air)},NN|VB,1,"0,1,0",air: root:air,"MorphoLex-en exact evidence: [air; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(air)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
align_en_gb,align,align,exact,align,Exact MorphoLex row used.,{<a<(line)},VB,2,"1,1,0",align: prefix:a + root:line,"MorphoLex-en exact evidence: [align; POS=VB; Nmorph=2; PRS=1,1,0; segmentation={<a<(line)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
allowed_en_gb,allowed,allowed,exact,allowed,Exact MorphoLex row used.,{(allow)},VB,1,"0,1,0",allowed: root:allow,"MorphoLex-en exact evidence: [allowed; POS=VB; Nmorph=1; PRS=0,1,0; segmentation={(allow)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
aloud_en_gb,aloud,aloud,exact,aloud,Exact MorphoLex row used.,{(aloud)},RB,1,"0,1,0",aloud: root:aloud,"MorphoLex-en exact evidence: [aloud; POS=RB; Nmorph=1; PRS=0,1,0; segmentation={(aloud)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
alphabet_en_gb,alphabet,alphabet,exact,alphabet,Exact MorphoLex row used.,{(alphabet)},NN,1,"0,1,0",alphabet: root:alphabet,"MorphoLex-en exact evidence: [alphabet; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(alphabet)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
angle_en_gb,angle,angle,exact,angle,Exact MorphoLex row used.,{(angle)},NN|VB,1,"0,1,0",angle: root:angle,"MorphoLex-en exact evidence: [angle; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(angle)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
animal_en_gb,animal,animal,exact,animal,Exact MorphoLex row used.,{(animal)},NN,1,"0,1,0",animal: root:animal,"MorphoLex-en exact evidence: [animal; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(animal)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
ankle_en_gb,ankle,ankle,exact,ankle,Exact MorphoLex row used.,{(ankle)},NN,1,"0,1,0",ankle: root:ankle,"MorphoLex-en exact evidence: [ankle; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(ankle)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
answer_en_gb,answer,answer,exact,answer,Exact MorphoLex row used.,{(answer)},NN|VB,1,"0,1,0",answer: root:answer,"MorphoLex-en exact evidence: [answer; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(answer)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
antique_en_gb,antique,antique,exact,antique,Exact MorphoLex row used.,{(antique)},JJ|NN,1,"0,1,0",antique: root:antique,"MorphoLex-en exact evidence: [antique; POS=JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(antique)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
apple_en_gb,apple,apple,exact,apple,Exact MorphoLex row used.,{(apple)},NN,1,"0,1,0",apple: root:apple,"MorphoLex-en exact evidence: [apple; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(apple)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
are_en_gb,are,are,exact,are,Exact MorphoLex row used.,{(are)},VB,1,"0,1,0",are: root:are,"MorphoLex-en exact evidence: [are; POS=VB; Nmorph=1; PRS=0,1,0; segmentation={(are)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
argument_en_gb,argument,argument,exact,argument,Exact MorphoLex row used.,{(argue)}>ment>,NN,2,"0,1,1",argument: root:argue + suffix:ment,"MorphoLex-en exact evidence: [argument; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(argue)}>ment>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
around_en_gb,around,around,exact,around,Exact MorphoLex row used.,{(around)},minor|RB,1,"0,1,0",around: root:around,"MorphoLex-en exact evidence: [around; POS=minor|RB; Nmorph=1; PRS=0,1,0; segmentation={(around)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
as_en_gb,as,as,exact,as,Exact MorphoLex row used.,{(as)},minor|RB,1,"0,1,0",as: root:as,"MorphoLex-en exact evidence: [as; POS=minor|RB; Nmorph=1; PRS=0,1,0; segmentation={(as)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
attention_en_gb,attention,attention,exact,attention,Exact MorphoLex row used.,{(attend)}>ion>,NN,2,"0,1,1",attention: root:attend + suffix:ion,"MorphoLex-en exact evidence: [attention; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(attend)}>ion>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
author_en_gb,author,author,exact,author,Exact MorphoLex row used.,{(author)},NN|VB,1,"0,1,0",author: root:author,"MorphoLex-en exact evidence: [author; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(author)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
auto_en_gb,auto,auto,exact,auto,Exact MorphoLex row used.,{(auto)},NN,1,"0,1,0",auto: root:auto,"MorphoLex-en exact evidence: [auto; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(auto)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
automatic_en_gb,automatic,automatic,exact,automatic,Exact MorphoLex row used.,{(automatic)},JJ|NN,1,"0,1,0",automatic: root:automatic,"MorphoLex-en exact evidence: [automatic; POS=JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(automatic)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
away_en_gb,away,away,exact,away,Exact MorphoLex row used.,{(away)},RB|minor,1,"0,1,0",away: root:away,"MorphoLex-en exact evidence: [away; POS=RB|minor; Nmorph=1; PRS=0,1,0; segmentation={(away)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
babies_en_gb,babies,babies,exact,babies,Exact MorphoLex row used.,{(baby)},NN|VB,1,"0,1,0",babies: root:baby,"MorphoLex-en exact evidence: [babies; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(baby)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
baby_en_gb,baby,baby,exact,baby,Exact MorphoLex row used.,{(baby)},NN|VB,1,"0,1,0",baby: root:baby,"MorphoLex-en exact evidence: [baby; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(baby)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
back_en_gb,back,back,exact,back,Exact MorphoLex row used.,{(back)},RB|JJ|NN|VB,1,"0,1,0",back: root:back,"MorphoLex-en exact evidence: [back; POS=RB|JJ|NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(back)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bad_en_gb,bad,bad,exact,bad,Exact MorphoLex row used.,{(bad)},JJ|NN|RB,1,"0,1,0",bad: root:bad,"MorphoLex-en exact evidence: [bad; POS=JJ|NN|RB; Nmorph=1; PRS=0,1,0; segmentation={(bad)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
worse_en_gb,worse,worse,exact,worse,Exact MorphoLex row used.,{(worse)},JJ|RB|NN,1,"0,1,0",worse: root:worse,"Irregular comparison: bad does not become badder in standard use; the comparative form is worse. | MorphoLex-en exact evidence: [worse; POS=JJ|RB|NN; Nmorph=1; PRS=0,1,0; segmentation={(worse)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
worst_en_gb,worst,worst,exact,worst,Exact MorphoLex row used.,{(worst)},JJ|RB|NN|VB,1,"0,1,0",worst: root:worst,"Irregular comparison: bad does not become baddest in standard use; the superlative form is worst. | MorphoLex-en exact evidence: [worst; POS=JJ|RB|NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(worst)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
badge_en_gb,badge,badge,exact,badge,Exact MorphoLex row used.,{(badge)},NN,1,"0,1,0",badge: root:badge,"MorphoLex-en exact evidence: [badge; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(badge)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bake_en_gb,bake,bake,exact,bake,Exact MorphoLex row used.,{(bake)},VB|JJ|NN,1,"0,1,0",bake: root:bake,"MorphoLex-en exact evidence: [bake; POS=VB|JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(bake)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
baked_en_gb,baked,baked,exact,baked,Exact MorphoLex row used.,{(bake)},JJ|VB,1,"0,1,0",baked: root:bake,"MorphoLex-en exact evidence: [baked; POS=JJ|VB; Nmorph=1; PRS=0,1,0; segmentation={(bake)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bank_en_gb,bank,bank,exact,bank,Exact MorphoLex row used.,{(bank)},NN|VB,1,"0,1,0",bank: root:bank,"MorphoLex-en exact evidence: [bank; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bank)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
basic_en_gb,basic,basic,exact,basic,Exact MorphoLex row used.,{(base)}>ic>,JJ|NN,2,"0,1,1",basic: root:base + suffix:ic,"MorphoLex-en exact evidence: [basic; POS=JJ|NN; Nmorph=2; PRS=0,1,1; segmentation={(base)}>ic>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
basket_en_gb,basket,basket,exact,basket,Exact MorphoLex row used.,{(basket)},NN,1,"0,1,0",basket: root:basket,"MorphoLex-en exact evidence: [basket; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(basket)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bat_en_gb,bat,bat,exact,bat,Exact MorphoLex row used.,{(bat)},NN|VB,1,"0,1,0",bat: root:bat,"MorphoLex-en exact evidence: [bat; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bat)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bath_en_gb,bath,bath,exact,bath,Exact MorphoLex row used.,{(bath)},NN,1,"0,1,0",bath: root:bath,"MorphoLex-en exact evidence: [bath; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(bath)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
beautiful_en_gb,beautiful,beautiful,exact,beautiful,Exact MorphoLex row used.,{(beauty)}>ful>,JJ,2,"0,1,1",beautiful: root:beauty + suffix:ful,"MorphoLex-en exact evidence: [beautiful; POS=JJ; Nmorph=2; PRS=0,1,1; segmentation={(beauty)}>ful>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
because_en_gb,because,because,exact,because,Exact MorphoLex row used.,{(because)},minor,1,"0,1,0",because: root:because,"MorphoLex-en exact evidence: [because; POS=minor; Nmorph=1; PRS=0,1,0; segmentation={(because)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bed_en_gb,bed,bed,exact,bed,Exact MorphoLex row used.,{(bed)},NN|VB,1,"0,1,0",bed: root:bed,"MorphoLex-en exact evidence: [bed; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bed)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bedroom_en_gb,bedroom,bedroom,exact,bedroom,Exact MorphoLex row used.,{(bed)}{(room)},NN,2,"0,2,0",bedroom: root:bed + root:room,"MorphoLex-en exact evidence: [bedroom; POS=NN; Nmorph=2; PRS=0,2,0; segmentation={(bed)}{(room)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bench_en_gb,bench,bench,exact,bench,Exact MorphoLex row used.,{(bench)},NN,1,"0,1,0",bench: root:bench,"MorphoLex-en exact evidence: [bench; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(bench)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
best_en_gb,best,best,exact,best,Exact MorphoLex row used.,{(beast)},JJ|RB,1,"0,1,0",best: root:beast,"Irregular comparison: good does not become goodest; the superlative form is best. | MorphoLex-en exact evidence: [best; POS=JJ|RB; Nmorph=1; PRS=0,1,0; segmentation={(beast)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bigger_en_gb,bigger,bigger,exact,bigger,Exact MorphoLex row used.,{(big)}>er>,JJ,2,"0,1,1",bigger: root:big + suffix:er,"Double the final consonant before -er after a short vowel: big -> bigger. | MorphoLex-en exact evidence: [bigger; POS=JJ; Nmorph=2; PRS=0,1,1; segmentation={(big)}>er>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
biggest_en_gb,biggest,biggest,exact,biggest,Exact MorphoLex row used.,{(big)}>est>,JJ|NN,2,"0,1,1",biggest: root:big + suffix:est,"Double the final consonant before -est after a short vowel: big -> biggest. | MorphoLex-en exact evidence: [biggest; POS=JJ|NN; Nmorph=2; PRS=0,1,1; segmentation={(big)}>est>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
big_en_gb,big,big,exact,big,Exact MorphoLex row used.,{(big)},JJ,1,"0,1,0",big: root:big,"MorphoLex-en exact evidence: [big; POS=JJ; Nmorph=1; PRS=0,1,0; segmentation={(big)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bike_en_gb,bike,bike,exact,bike,Exact MorphoLex row used.,{(bike)},NN|VB,1,"0,1,0",bike: root:bike,"MorphoLex-en exact evidence: [bike; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bike)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
biology_en_gb,biology,biology,exact,biology,Exact MorphoLex row used.,{(bio)(log)>y>},NN,3,"0,2,1",biology: root:bio + root:log + suffix:y,"MorphoLex-en exact evidence: [biology; POS=NN; Nmorph=3; PRS=0,2,1; segmentation={(bio)(log)>y>}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bird_en_gb,bird,bird,exact,bird,Exact MorphoLex row used.,{(bird)},NN,1,"0,1,0",bird: root:bird,"MorphoLex-en exact evidence: [bird; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(bird)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
black_en_gb,black,black,exact,black,Exact MorphoLex row used.,{(black)},JJ|NN|VB,1,"0,1,0",black: root:black,"MorphoLex-en exact evidence: [black; POS=JJ|NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(black)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
blue_en_gb,blue,blue,exact,blue,Exact MorphoLex row used.,{(blue)},JJ|NN,1,"0,1,0",blue: root:blue,"MorphoLex-en exact evidence: [blue; POS=JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(blue)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
board_en_gb,board,board,exact,board,Exact MorphoLex row used.,{(board)},NN|VB,1,"0,1,0",board: root:board,"MorphoLex-en exact evidence: [board; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(board)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
boat_en_gb,boat,boat,exact,boat,Exact MorphoLex row used.,{(boat)},NN,1,"0,1,0",boat: root:boat,"MorphoLex-en exact evidence: [boat; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(boat)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
boil_en_gb,boil,boil,exact,boil,Exact MorphoLex row used.,{(boil)},VB|NN,1,"0,1,0",boil: root:boil,"MorphoLex-en exact evidence: [boil; POS=VB|NN; Nmorph=1; PRS=0,1,0; segmentation={(boil)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bolt_en_gb,bolt,bolt,exact,bolt,Exact MorphoLex row used.,{(bolt)},NN|VB,1,"0,1,0",bolt: root:bolt,"MorphoLex-en exact evidence: [bolt; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bolt)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bomb_en_gb,bomb,bomb,exact,bomb,Exact MorphoLex row used.,{(bomb)},NN|VB,1,"0,1,0",bomb: root:bomb,"MorphoLex-en exact evidence: [bomb; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bomb)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bombard_en_gb,bombard,bombard,exact,bombard,Exact MorphoLex row used.,{(bombard)},VB,1,"0,1,0",bombard: root:bombard,"MorphoLex-en exact evidence: [bombard; POS=VB; Nmorph=1; PRS=0,1,0; segmentation={(bombard)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
book_en_gb,book,book,exact,book,Exact MorphoLex row used.,{(book)},NN|VB,1,"0,1,0",book: root:book,"MorphoLex-en exact evidence: [book; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(book)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
books_en_gb,books,books,exact,books,Exact MorphoLex row used.,{(book)},NN|VB,1,"0,1,0",books: root:book,"MorphoLex-en exact evidence: [books; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(book)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bosom_en_gb,bosom,bosom,exact,bosom,Exact MorphoLex row used.,{(bosom)},NN,1,"0,1,0",bosom: root:bosom,"MorphoLex-en exact evidence: [bosom; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(bosom)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bottle_en_gb,bottle,bottle,exact,bottle,Exact MorphoLex row used.,{(bottle)},NN|VB,1,"0,1,0",bottle: root:bottle,"MorphoLex-en exact evidence: [bottle; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bottle)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bowl_en_gb,bowl,bowl,exact,bowl,Exact MorphoLex row used.,{(bowl)},NN|VB,1,"0,1,0",bowl: root:bowl,"MorphoLex-en exact evidence: [bowl; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bowl)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
boxes_en_gb,boxes,boxes,exact,boxes,Exact MorphoLex row used.,{(box)},NN|VB,1,"0,1,0",boxes: root:box,"MorphoLex-en exact evidence: [boxes; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(box)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
boy_en_gb,boy,boy,exact,boy,Exact MorphoLex row used.,{(boy)},NN,1,"0,1,0",boy: root:boy,"MorphoLex-en exact evidence: [boy; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(boy)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
braver_en_gb,braver,braver,exact,braver,Exact MorphoLex row used.,{(brave)}>er>,JJ,2,"0,1,1",braver: root:brave + suffix:er,"MorphoLex-en exact evidence: [braver; POS=JJ; Nmorph=2; PRS=0,1,1; segmentation={(brave)}>er>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bravest_en_gb,bravest,bravest,exact,bravest,Exact MorphoLex row used.,{(brave)}>est>,JJ,2,"0,1,1",bravest: root:brave + suffix:est,"MorphoLex-en exact evidence: [bravest; POS=JJ; Nmorph=2; PRS=0,1,1; segmentation={(brave)}>est>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
brave_en_gb,brave,brave,exact,brave,Exact MorphoLex row used.,{(brave)},JJ,1,"0,1,0",brave: root:brave,"MorphoLex-en exact evidence: [brave; POS=JJ; Nmorph=1; PRS=0,1,0; segmentation={(brave)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
break_en_gb,break,break,exact,break,Exact MorphoLex row used.,{(break)},VB|NN,1,"0,1,0",break: root:break,"MorphoLex-en exact evidence: [break; POS=VB|NN; Nmorph=1; PRS=0,1,0; segmentation={(break)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bridge_en_gb,bridge,bridge,exact,bridge,Exact MorphoLex row used.,{(bridge)},NN|VB,1,"0,1,0",bridge: root:bridge,"MorphoLex-en exact evidence: [bridge; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bridge)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bright_en_gb,bright,bright,exact,bright,Exact MorphoLex row used.,{(bright)},JJ|NN,1,"0,1,0",bright: root:bright,"MorphoLex-en exact evidence: [bright; POS=JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(bright)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
brochure_en_gb,brochure,brochure,exact,brochure,Exact MorphoLex row used.,{(brochure)},NN,1,"0,1,0",brochure: root:brochure,"MorphoLex-en exact evidence: [brochure; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(brochure)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
brown_en_gb,brown,brown,exact,brown,Exact MorphoLex row used.,{(brown)},JJ|NN|VB,1,"0,1,0",brown: root:brown,"MorphoLex-en exact evidence: [brown; POS=JJ|NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(brown)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bruise_en_gb,bruise,bruise,exact,bruise,Exact MorphoLex row used.,{(bruise)},NN|VB,1,"0,1,0",bruise: root:bruise,"MorphoLex-en exact evidence: [bruise; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bruise)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
brush_en_gb,brush,brush,exact,brush,Exact MorphoLex row used.,{(brush)},NN|VB,1,"0,1,0",brush: root:brush,"MorphoLex-en exact evidence: [brush; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(brush)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
bubble_en_gb,bubble,bubble,exact,bubble,Exact MorphoLex row used.,{(bubble)},NN|JJ|VB,1,"0,1,0",bubble: root:bubble,"MorphoLex-en exact evidence: [bubble; POS=NN|JJ|VB; Nmorph=1; PRS=0,1,0; segmentation={(bubble)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
build_en_gb,build,build,exact,build,Exact MorphoLex row used.,{(build)},VB|NN,1,"0,1,0",build: root:build,"MorphoLex-en exact evidence: [build; POS=VB|NN; Nmorph=1; PRS=0,1,0; segmentation={(build)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
burn_en_gb,burn,burn,exact,burn,Exact MorphoLex row used.,{(burn)},VB|NN,1,"0,1,0",burn: root:burn,"MorphoLex-en exact evidence: [burn; POS=VB|NN; Nmorph=1; PRS=0,1,0; segmentation={(burn)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
buses_en_gb,buses,buses,exact,buses,Exact MorphoLex row used.,{(bus)},NN|VB,1,"0,1,0",buses: root:bus,"MorphoLex-en exact evidence: [buses; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bus)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
business_en_gb,business,business,exact,business,Exact MorphoLex row used.,{(business)},NN,1,"0,1,0",business: root:business,"MorphoLex-en exact evidence: [business; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(business)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
busier_en_gb,busier,busier,exact,busier,Exact MorphoLex row used.,{(busy)}>er>,JJ,2,"0,1,1",busier: root:busy + suffix:er,"Change final consonant + y to i before -er: busy -> busier. | MorphoLex-en exact evidence: [busier; POS=JJ; Nmorph=2; PRS=0,1,1; segmentation={(busy)}>er>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
busiest_en_gb,busiest,busiest,exact,busiest,Exact MorphoLex row used.,{(busy)}>est>,JJ,2,"0,1,1",busiest: root:busy + suffix:est,"MorphoLex-en exact evidence: [busiest; POS=JJ; Nmorph=2; PRS=0,1,1; segmentation={(busy)}>est>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
