word_key,normalised_word,display_word,dialect_code,current_age_band,suggested_age_number,suggested_age_band,source_category,source_name,source_url_or_path,source_use_note,confidence,review_status,review_notes
fastest_en_gb,fastest,fastest,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
funnier_en_gb,funnier,funnier,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
hoped_en_gb,hoped,hoped,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
hoping_en_gb,hoping,hoping,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
jumps_en_gb,jumps,jumps,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
larger_en_gb,larger,larger,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
largest_en_gb,largest,largest,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
latest_en_gb,latest,latest,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
laughed_en_gb,laughed,laughed,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
looked_en_gb,looked,looked,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
looking_en_gb,looking,looking,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
mack_en_gb,mack,mack,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
making_en_gb,making,making,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
mapped_en_gb,Mapped,Mapped,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
nature_natural_en_gb,nature/natural,nature/natural,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
needed_en_gb,needed,needed,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
opened_en_gb,opened,opened,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
played_en_gb,played,played,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
playing_en_gb,playing,playing,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
plays_en_gb,plays,plays,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
quickest_en_gb,quickest,quickest,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
reads_en_gb,reads,reads,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
replay_en_gb,replay,replay,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
replayed_en_gb,replayed,replayed,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
smiling_en_gb,smiling,smiling,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
started_en_gb,started,started,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
stories_en_gb,stories,stories,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
studies_en_gb,studies,studies,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
tall_taller_tallest_en_gb,tall/taller/tallest,tall/taller/tallest,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
ten_en_gb,ten,ten,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
twenty_one_en_gb,twenty-one,twenty-one,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
walked_en_gb,walked,walked,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
wanted_en_gb,wanted,wanted,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
watches_en_gb,watches,watches,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
wishes_en_gb,wishes,wishes,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
words_en_gb,words,words,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
