Word,Age
currant,9
current,9
cute,5
cuter,6
cymbal,9
dad's,6
dairy,5
dance,6
danced,6
dancer,6
dancing,6
dangerous,7
dangerously,7
dare,5
darkness,6
day,5
dazzled,6
dead,5
dear,5
debris,9
debt,10
deceit,9
deceitful,9
deceive,9
December,7
decide,7
decision,7
deer,6
definite,10
delicious,9
departure,7
depend,10
dependable,10
descend,7
descendants,10
descent,10
describe,7
desert,9
design,10
desirable,10
desire,10
desperate,10
dessert,9
determined,9
develop,9
device,10
devil,6
devise,10
dice,6
dictionary,9
didn't,6
die,5
diesel,9
diet,8
dietician,8
differ,9
differed,9
difference,9
different,8
difficult,7
digestible,10
dinosaur,5
direction,8
dirt,5
disadvantageous,8
disagree,7
disappear,7
disappoint,7
disastrous,7
disciple,8
discipline,8
discussion,7
dislike,7
disobedient,7
disobey,7
disrespectful,7
dissent,10
distance,9
distant,9
distraught,9
disturbance,9
dive,5
division,7
do,5
dodge,6
doe,5
doesn't,6
dogs,5
dolphin,5
dominance,9
dominant,9
dominate,10
domination,10
don't,6
done,6
donkey,6
donkeys,6
door,6
double,7
doubt,9
doubtful,9
dough,9
doughnut,9
down,5
draft,9
dramatically,8
drastically,8
draught,9
draw,5
dress,5
dries,5
drop,6
dropped,6
dropping,6
drought,9
dry,6
duly,8
dumb,10
early,7
earth,7
easily,6
easy,6
eat,5
echo,8
edge,6
edible,10
educate,7
education,7
effect,8
efficiency,10
efficient,9
eight,7
eighteen,8
eighth,8
either,9
electrician,8
elegance,9
elegant,9
elephant,5
eligible,10
embarrass,10
enclosure,7
ending,7
energy,6
engine,6
enjoy,5
enjoyably,10
enjoyment,6
enormous,7
enough,7
environment,10
equip,9
equipment,9
equipped,10
especially,9
essential,9
even,5
evening,5
eventually,7
every,6
everybody,6
evil,6
exaggerate,10
excellent,9
except,8
excitable,9
excitement,6
exercise,7
exhaust,9
exhibition,8
existence,9
expand,8
expansion,8
expect,10
expectancy,10
expectant,10
expectation,10
experience,8
experiment,8
explanation,9
explosion,7
expression,8
extend,8
extreme,8
eye,6
fable,6
fabulous,7
face,6
facial,9
fair,5
fairy,5
fall,6
familiar,9
famous,7
fancies,9
fancy,6
fare,8
farm,5
farther,9
fascinate,7
fashion,10
fashionably,10
fast,6
fasten,8
fastened,8
fastening,8
faster,5
father,6
fatter,6
favourite,8
fear,5
feasible,10
February,7
feel,5
feet,5
feisty,10
fern,5
fetch,5
fetcher,7
few,5
fiction,6
fictitious,9
fidget,8
fidgeted,8
fidgeting,8
field,5
fierce,9
fight,5
finally,7
financial,10
find,6
fir,5
fireman,5
five,5
fizz,5
flaw,9
flew,5
flexible,10
flies,6
flirtatious,10
floor,6
flourish,7
fluorescent,10
fly,6
focused,8
foes,5
foil,5
food,5
foot,5
football,5
for,5
forbid,7
forbidden,7
forcible,10
fore,7
foreign,10
forethought,10
forfeit,10
forget,7
forgettable,8
forgetting,7
forgotten,7
fork,5
fort,5
forty,9
forward,7
forwards,7
fossil,6
fought,9
foul,9
found,5
four,6
fowl,9
fractious,10
fracture,7
fragrance,9
frantically,8
fraught,9
freight,7
frequency,10
frequent,10
frequently,10
Friday,5
fried,6
friend,5
fries,6
fruit,7
fry,6
fuchsia,8
fudge,6
full,5
funny,5
fur,5
furniture,7
fuse,8
fusion,8
future,7
fuzz,5
game,5
garden,7
gardener,7
gardening,7
gave,5
gem,6
gentle,6
gently,7
gerbil,6
germ,5
ghost,9
giraffe,6
girl,5
girl's,6
girls,5
give,5
glacier,9
glamorous,8
glamour,8
glanced,6
glue,5
gnash,6
gnat,6
gnaw,6
gnome,6
go,5
goal,5
goat,5
goes,5
gold,6
good,5
gorgeous,8
government,9
gracious,10
grammar,7
grass,6
grate,8
great,6
greedily,7
grew,5
grey,7
grief,9
grin,6
grinned,6
grinning,6
groan,8
grotesque,8
ground,5
group,7
grow,5
grown,8
guarantee,10
guard,8
guessed,9
guest,9
guide,8
gullible,9
gym,7
gypsy,7
hair,5
half,6
hall,6
handbag,5
happen,7
happened,7
happening,7
happier,6
happiest,6
happily,6
happiness,6
happy,5
harass,10
hard,5
hare,5
has,5
hasn't,6
hated,6
haughty,10
haul,5
have,5
haven't,6
hay,5
he,5
he'll,6
he's,6
head,5
heal,7
hear,5
heard,7
heart,7
heavier,6
heaviest,6
heavily,7
heavy,6
hedge,6
heel,7
height,8
heir,8
heist,10
helpful,6
her,5
herd,5
here,5
hesitancy,10
hesitant,10
hesitate,10
hesitation,8
hideous,8
high,5
hiked,6
hiker,6
hiking,6
hindrance,10
his,5
historically,7
history,7
hold,6
hole,5
home,5
honest,9
honey,6
honk,5
honour,9
hook,5
hopeless,6
horn,5
horrible,9
horribly,9
hospital,6
hour,6
house,5
how,5
hug,6
huge,5
hugged,6
hugging,6
humble,7
humbly,7
humorous,8
humour,8
hunted,5
hunter,5
hunting,5
hurried,6
hurry,6
hurrying,6
hurt,5
hutch,5
hygiene,9
hymn,7
I,5
I'll,6
I'm,6
I've,6
ice,6
icy,6
identity,9
ignorance,9
ignorant,9
illegal,8
illegible,8
illegitimate,8
illimitable,8
illiterate,8
illness,6
illogical,8
imagination,8
imagine,8
immature,8
immediate,9
immediately,9
immortal,8
immovable,8
impartial,10
impatient,8
impolite,8
importance,9
important,7
impossible,8
imprecise,8
impression,8
improbable,8
improve,6
inactive,7
incomplete,7
inconceivable,10
incorrect,7
increase,8
incredible,7
incredibly,7
independence,10
independent,10
individual,9
infectious,9
influential,10
information,8
inheritance,9
initial,9
inject,7
injection,6
innocence,9
innocent,9
insistence,9
instantaneous,8
intelligence,9
intelligent,9
interact,8
interchange,8
intercity,8
interest,8
interfere,10
international,8
interrelated,8
interrupt,10
intervene,8
into,5
invasion,7
invent,7
invention,7
invincible,10
invisible,7
irrational,8
irrefutable,8
irregular,8
irrelevant,8
irreplaceable,8
irresponsible,8
irritable,9
is,5
island,7
isle,9
isn't,6
isosceles,8
it'll,6
it's,6
jacket,6
jam,6
January,7
jar,5
jaw,5
jealous,7
jewel,6
jingle,6
jog,6
join,5
joke,5
joy,5
joyous,7
judge,7
July,7
jumped,5
jumper,5
jumping,5
June,7
jungle,6
justifiable,10
justify,10
kerb,5
key,5
keys,6
kicked,5
kicker,5
kicking,5
kind,5
kindly,6
kindness,6
king,5
kisses,5
kitchen,5
kite,5
knack,6
knead,6
knee,6
kneel,6
knew,6
knife,6
knight,6
knit,6
knob,6
knock,6
knot,6
know,6
knowledge,8
knowledgeable,10
knuckle,9
label,6
lady's,6
laid,5
lamb,10
language,9
large,6
last,6
later,6
laugh,10
laughable,9
launch,5
laundry,5
lay,5
lazier,6
laziest,6
lazily,6
lazy,6
lead,9
leaf,5
league,8
learn,7
led,9
ledge,6
legal,8
legible,8
leisure,6
length,8
library,8
licence,10
license,10
lie,5
lied,5
light,5
lightning,9
like,5
likeable,9
liked,6
limb,10
limit,7
limited,7
limiting,8
line,5
listen,7
listened,7
listening,7
literate,8
little,6
live,5
logical,8
loneliness,6
look,5
lotion,6
loud,5
louder,5
love,5
lovely,6
luckily,6
lucky,6
luscious,10
lyric,7
machete,8
machine,7
made,5
magic,6
magician,8
mail,8
main,8
male,8
malicious,9
man's,6
manageable,10
mane,8
many,6
March,7
married,6
marry,6
marrying,6
marshal,10
martial,9
marvellous,10
mate,5
material,7
mathematician,8
mature,8
May,7
me,5
measure,6
meat,5
mechanic,8
medal,8
meddle,8
medicine,8
meet,5
mention,7
merciful,6
merrily,6
merriment,6
merry,6
mess,5
metal,6
mice,5
middle,6
might,5
might've,6
mightn't,6
mind,6
minute,7
misbehave,7
miscellaneous,10
mischief,9
mischievous,10
miserably,7
misheard,7
misjudge,7
missed,8
mission,7
mist,8
mistaught,9
misunderstand,7
mixed,6
mixing,6
mixture,7
monarch,8
Monday,5
money,6
monkey,6
monkeys,6
month,6
moon,5
more,5
morning,9
mosque,8
most,6
mother,6
motion,6
mountainous,7
mourning,9
moustache,7
mouth,5
move,6
movement,6
Mr,6
Mrs,6
muddle,6
multiracial,10
mum's,6
muscle,8
musical,6
musician,8
must've,6
mustn't,6
my,5
mystery,7
myth,7
nail,5
name,5
nation,6
natural,8
nature,7
naughty,7
nauseous,8
near,5
nearly,6
necessary,9
need,5
negligible,10
neigh,8
neighbour,8
nervous,7
new,5
nice,6
nicer,6
nicest,6
night,5
nine,5
no,5
noble,7
nobly,7
noisily,6
noisy,6
nose,5
nostril,6
nosy,6
not,8
note,5
nothing,6
notice,8
noticeable,10
nought,9
nourish,7
November,7
now,5
nuisance,9
numb,10
numerous,7
nutritious,9
obedience,9
obedient,7
obey,7
obscene,10
obscenities,10
observance,10
observant,10
observation,10
observe,10
obsession,8
obvious,8
occasion,7
occasionally,7
occupy,9
occur,7
occurred,7
occurrence,8
occurring,7
October,7
odorous,8
odour,8
of,5
off,5
offer,8
offered,8
offering,8
official,9
often,7
oil,5
old,6
omission,8
omit,8
once,5
one,5
only,6
operation,8
opportunity,9
opposite,8
optician,8
orchestra,8
ordinary,8
organisation,8
other,6
ought,9
our,5
out,5
outrageous,8
over,5
overwrought,9
own,5
oxygen,7
pace,6
page,6
paid,5
pain,5
painful,6
pair,5
palatial,9
pancake,5
parachute,7
parents,6
park,5
parliament,9
partial,9
particular,8
parties,6
party,5
pass,6
passed,9
past,6
pat,6
path,6
patience,10
patient,8
patted,6
patting,6
pause,9
paw,5
paws,9
pay,5
payment,6
peace,7
pear,5
peculiar,8
pedal,6
pence,6
pencil,6
penniless,6
pension,7
people,6
perceivably,10
perceive,9
perhaps,7
permissible,10
permission,7
permit,8
person,5
persuade,10
petal,6
physical,9
physician,8
picture,7
pie,5
piece,7
pierce,9
pilfer,9
pilfered,9
pitiless,6
plague,8
plain,8
plane,8
planning,6
plant,6
plaque,8
plausible,10
play,5
playful,6
pleasure,6
plough,9
ploughman,9
plumber,9
pneumatic,10
pneumonia,10
poacher,7
point,5
poisonous,7
polite,8
politician,8
pollute,7
pollution,7
pool,5
poor,6
popular,7
population,7
position,8
possess,8
possession,8
possible,7
possibly,7
potatoes,7
potential,10
potion,6
practice,10
practise,10
preacher,7
precede,10
precious,9
precocious,10
preconceived,10
predict,10
predictable,10
prefer,7
preference,8
preferential,10
preferred,7
preferring,7
prejudice,10
prejudicial,10
preparation,8
pressure,8
pretentious,10
prettiness,6
pretty,6
prey,7
prince,6
princess,6
principal,10
principle,10
privilege,10
probable,7
probably,7
proceed,10
producible,10
profession,7
profit,10
programme,9
progression,8
promise,7
pronunciation,10
prophet,10
protein,9
proudly,7
prove,6
psychiatrist,10
psychology,10
publicly,8
puff,5
pull,5
puncture,7
pupil,6
puppies,6
purpose,8
push,5
put,5
puzzle,6
pyramid,7
quad,6
quantity,6
quarrel,6
quarter,7
question,7
queue,9
quiche,8
quickly,6
quiet,6
quietly,6
quite,6
race,6
racial,9
radiance,9
rage,6
rain,5
rainbow,5
ravenous,7
raw,5
re-elect,9
re-enter,9
re-escape,9
re-examine,9
reaction,7
read,5
reappear,7
reason,10
reasonable,9
reasonably,7
rebuild,7
receipt,9
receive,9
receiver,9
recent,8
rechargeable,10
recognise,9
recommend,10
recount,7
red,6
redecorate,7
redo,7
reducible,10
refer,8
referee,9
reference,9
referral,9
referred,8
referring,8
refresh,7
regret,8
regrettable,8
regretted,8
regretting,8
regular,8
regularly,7
reheat,7
reign,7
rein,7
reindeer,7
reins,7
relate,7
relation,7
relevance,9
relevant,8
reliable,9
reliably,9
relied,6
relies,6
reluctance,9
reluctant,9
remark,10
remarkably,10
remember,7
repetitious,10
replaceable,8
replied,6
reply,6
replying,6
rescue,5
residence,9
residential,9
resign,10
respectable,9
respectful,7
responsible,8
responsibly,7
restaurant,9
rethink,7
rethought,10
retrieve,9
return,7
reversible,9
review,7
revise,8
rewrite,7
rhinoceros,9
rhombus,9
rhyme,9
rhythm,10
richer,7
ride,5
ridiculous,7
right,5
road,5
rob,6
robbed,6
robbing,6
rogue,8
roof,5
room,5
rough,7
roughage,10
roughened,10
roughest,9
roughshod,10
round,5
rude,5
rudeness,6
runner,6
sack,5
sacrifice,9
sacrificial,10
sadder,6
saddest,6
sadly,6
sadness,6
safe,5
said,5
sail,5
same,5
sank,5
Saturday,5
saw,5
say,5
says,5
scare,5
scary,6
scenario,10
scene,7
scenery,8
scheme,8
school,5
science,7
scientist,7
scissors,7
score,5
scrumptious,10
sculpture,7
sea,5
secretary,9
section,6
see,5
seen,8
seize,9
sensation,8
sensible,9
sentence,6
separate,8
September,7
sequential,10
serial,9
serious,8
session,7
sew,6
share,5
she,5
she'll,6
she's,6
sheikh,8
shield,5
shine,6
shiny,6
shirt,5
shopper,6
shopping,6
shore,5
short,5
should,6
should've,6
shoulder,9
shouldn't,6
shout,5
show,5
shy,6
side,5
siege,9
sigh,5
sight,8
signal,6
signature,9
silliness,6
simple,6
simply,7
sincere,9
sincerely,10
singer,5
sir,5
sister,5
site,8
situation,7
size,5
sketch,5
skilfully,7
skin,5
skip,5
skirt,5
sky,5
slaughter,9
sledge,6
sleigh,7
sleight,10
slow,5
slower,5
slowest,5
slowly,6
small,6
smaller,5
smallest,5
smiled,6
smudged,6
snapper,6
snappy,6
snatcher,7
sneakily,7
snore,5
snow,5
snowman,5
so,5
soak,5
soap,5
social,9
society,9
soil,5
soldier,9
solemn,10
some,5
son,6
soon,5
sore,5
sort,5
sought,9
sovereign,10
spacious,9
spare,5
spatial,9
spear,5
special,7
specially,8
species,9
spelt,7
spied,6
spies,6
spontaneous,8
sport,5
spotless,6
spy,6
squash,6
stack,5
stair,5
stalk,6
stall,6
star,5
stare,5
starfish,5
station,6
stationary,10
stationery,10
stay,5
steak,6
steal,9
steel,9
stencil,6
stew,5
stir,5
stomach,8
stop,6
stopped,6
stopping,6
storey,10
story,10
straight,8
strange,7
stranger,6
straw,5
strength,8
stretcher,7
studied,6
study,6
studying,6
stuff,5
subdivide,8
subheading,8
submarine,8
submerge,8
submission,8
submit,8
substantial,9
subtle,10
subtraction,6
subway,8
successfully,7
succumb,9
suffer,9
suffered,9
sufficient,9
sugar,6
suggest,9
suggestible,10
suite,10
summer,5
sun,6
Sunday,5
superficial,9
superhuman,7
superman,7
supermarket,7
superstar,7
superstitious,10
supervise,8
supervision,8
suppose,8
sure,6
surf,5
surprise,7
survey,8
surveyor,8
suspend,8
suspension,8
suspicious,9
swallow,6
swan,6
swear,5
sweet,10
swimmer,6
swimming,6
symbol,7
symmetry,10
syrup,7
system,9
table,6
tail,5
take,5
talk,6
tall,6
taller,5
tallest,5
tangible,10
tape,5
target,7
targeted,7
tea,5
teacher's,6
team,5
tear,5
technician,8
technology,8
television,6
temperature,10
temptation,8
tense,8
tension,8
terrible,7
terribly,7
texture,7
the,5
their,6
theme,5
then,5
there,5
therefore,8
these,5
they,5
they'll,6
they're,6
they've,6
thief,5
think,5
thinner,6
thistle,9
thorough,9
thoroughbred,10
thoroughfare,10
thoroughly,9
thoroughness,10
those,5
though,8
thought,8
thoughtful,9
thoughtfulness,10
thoughtless,10
threw,5
through,8
throw,5
thumb,9
Thursday,5
tie,5
tied,5
tight,5
time,5
tissue,5
to,5
toad,5
today,5
toe,5
told,6
tolerable,10
tolerably,10
tolerance,9
tolerant,9
tolerate,10
toleration,10
tomb,10
tongue,8
too,6
took,5
tore,5
torrential,10
total,6
touch,7
tough,7
toughen,10
toughest,9
towards,6
towed,10
towel,6
town,5
toy,5
transceiver,10
transfer,9
transference,9
transferred,9
transferring,9
translate,7
translation,7
transmission,8
transparency,10
transparent,10
travel,6
treasure,6
tree,5
tremendous,7
tries,6
trip,6
tripped,6
tripping,6
trouble,7
trough,9
trudged,6
true,5
truly,8
try,6
tube,5
Tuesday,5
tune,5
tunnel,6
turn,5
turnip,5
twelfth,9
two,6
typical,7
ugliness,6
unbelievable,9
uncle,6
uncommon,7
uncover,7
under,5
understand,7
understandable,9
understandably,9
undo,5
uneven,7
unfair,5
unfasten,7
unfold,7
unfortunately,7
unhappy,5
unintelligible,10
unique,8
unkind,5
unknown,7
unofficial,9
unpronounceable,10
unreliable,7
unstressed,7
untraceable,10
unwelcome,7
use,5
useable,9
useless,6
usual,6
usually,7
varied,6
varies,6
variety,8
various,7
vegetable,9
vehicle,10
veil,8
vein,7
verb,5
very,5
vicious,9
vigorous,8
vigour,8
violence,9
visible,7
vision,6
visit,7
visited,7
visiting,7
vivacious,10
vocabulary,10
voucher,7
vulture,7
wail,10
waist,8
wait,5
walk,6
wall,6
wand,6
wandered,6
want,6
war,6
warm,6
wary,10
was,5
washer,6
wasn't,6
wasp,6
waste,8
watch,6
watcher,7
water,6
way,5
we,5
we'll,6
we're,6
we've,6
wear,5
weary,10
weather,8
Wednesday,5
weekend,5
weigh,7
weight,7
weird,10
well,5
were,5
weren't,6
whale,5
wheel,5
when,5
where,5
whether,8
which,5
while,5
whined,6
whip,5
whistle,9
white,5
whizz,5
who,6
who's,8
whole,6
wholly,8
whose,8
why,6
wild,6
winter,5
witch,8
woke,5
woman,7
women,7
won,6
won't,6
wood,5
wore,5
work,6
worm,6
worried,6
worry,6
worrying,6
worst,6
would,6
wouldn't,6
wrap,6
wrapper,6
wrapping,6
wreck,6
wren,6
wrestle,9
wrestling,6
wriggled,6
wrinkle,7
wrinkles,6
wrinkly,7
wrist,6
write,6
wrong,6
wrote,6
yacht,10
yawn,5
you,5
you'll,6
you're,6
you've,6
young,7
your,5
zoo,5
