micro_skill_key,content_version,previous_version_status,promoted_version_status,previous_is_active,promoted_is_active,final_readiness_review_status,changed_fields,activation_status
D4_MOR_SUFFIXES_MENT,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_SUFFIXES_OUS,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_SUFFIXES_ABLE_IBLE,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PLURALS_S,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PLURALS_ES,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PLURALS_IES,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PLURALS_VES,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PAST_TENSE_ED_T_SOUND,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PAST_TENSE_ED_ID_SOUND,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PRESENT_TENSE_S,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PRESENT_TENSE_ES,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_PRESENT_TENSE_Y_TO_IES,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_ING_ENDINGS_REGULAR,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_COMPARATIVE_SUPERLATIVE_REGULAR,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_COMPARATIVE_SUPERLATIVE_DROP_E,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_IRREGULAR_INFLECTIONS_IRREGULAR_PAST,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_IRREGULAR_INFLECTIONS_IRREGULAR_PLURALS,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_INF_IRREGULAR_INFLECTIONS_IRREGULAR_PRESENT,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
