"case_id","family","source_text","focus_surface","start_utf16","end_utf16","primary_labeler_id","primary_classification","primary_intended_alternative","primary_supported_construction_status","primary_ambiguity_or_exclusion_reason","primary_confidence","primary_rationale","secondary_review_classification","secondary_review_intended_alternative","secondary_review_supported_construction_status","secondary_review_rationale","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","rationale"
"g2-its-its-0351","ITS_ITS","The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","26","29","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0352","ITS_ITS","The caretaker unlocked the side entrance. The unfinished note about itʼs running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","itʼs","68","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0353","ITS_ITS","A robin landed beside the chalk line. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","64","67","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0354","ITS_ITS","The morning began with an unexpected puzzle. The unfinished note about it's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it's","71","75","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0355","ITS_ITS","Once the music ended, the hall became still. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","71","74","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0356","ITS_ITS","The coach placed a clipboard on the bench. The unfinished note about it’s running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it’s","69","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0357","ITS_ITS","Just before dusk, the clouds turned orange. The unfinished note about Its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","Its","70","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0358","ITS_ITS","The science group compared yesterday's notes. The unfinished note about it's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it's","72","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0359","ITS_ITS","A small crowd waited near the noticeboard. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","69","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0360","ITS_ITS","The final clue appeared beneath a blue card. The unfinished note about it's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it's","71","75","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
