"case_id","family","source_text","focus_surface","start_utf16","end_utf16","primary_labeler_id","primary_classification","primary_intended_alternative","primary_supported_construction_status","primary_ambiguity_or_exclusion_reason","primary_confidence","primary_rationale","secondary_review_classification","secondary_review_intended_alternative","secondary_review_supported_construction_status","secondary_review_rationale","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","rationale"
"g2-there-their-theyre-0351","THERE_THEIR_THEYRE","The editor debated whether they're running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","they're","27","34","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0352","THERE_THEIR_THEYRE","The caretaker unlocked the side entrance. The editor debated whether there running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","there","69","74","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0353","THERE_THEIR_THEYRE","A robin landed beside the chalk line. The editor debated whether their running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","their","65","70","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0354","THERE_THEIR_THEYRE","The morning began with an unexpected puzzle. The editor debated whether they're running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","they're","72","79","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0355","THERE_THEIR_THEYRE","Once the music ended, the hall became still. The editor debated whether there running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","there","72","77","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0356","THERE_THEIR_THEYRE","The coach placed a clipboard on the bench. The editor debated whether their running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","their","70","75","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0357","THERE_THEIR_THEYRE","Just before dusk, the clouds turned orange. The editor debated whether They're running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","They're","71","78","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0358","THERE_THEIR_THEYRE","The science group compared yesterday's notes. The editor debated whether there running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","there","73","78","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0359","THERE_THEIR_THEYRE","A small crowd waited near the noticeboard. The editor debated whether their running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","their","70","75","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0360","THERE_THEIR_THEYRE","The final clue appeared beneath a blue card. The editor debated whether they're running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","they're","72","79","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
