"case_id","family","source_text","focus_surface","start_utf16","end_utf16","primary_labeler_id","primary_classification","primary_intended_alternative","primary_supported_construction_status","primary_ambiguity_or_exclusion_reason","primary_confidence","primary_rationale","secondary_review_classification","secondary_review_intended_alternative","secondary_review_supported_construction_status","secondary_review_rationale","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","rationale"
"g2-your-youre-0351","YOUR_YOURE","Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","28","32","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0352","YOUR_YOURE","The caretaker unlocked the side entrance. Without the missing ending, youʼre running could introduce more than one structure. The focus occurrence was not copied from a heading.","youʼre","70","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0353","YOUR_YOURE","A robin landed beside the chalk line. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","66","70","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0354","YOUR_YOURE","The morning began with an unexpected puzzle. Without the missing ending, you're running could introduce more than one structure. The focus occurrence was not copied from a heading.","you're","73","79","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0355","YOUR_YOURE","Once the music ended, the hall became still. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","73","77","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0356","YOUR_YOURE","The coach placed a clipboard on the bench. Without the missing ending, you’re running could introduce more than one structure. The focus occurrence was not copied from a heading.","you’re","71","77","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0357","YOUR_YOURE","Just before dusk, the clouds turned orange. Without the missing ending, Your running could introduce more than one structure. The focus occurrence was not copied from a heading.","Your","72","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0358","YOUR_YOURE","The science group compared yesterday's notes. Without the missing ending, you're running could introduce more than one structure. The focus occurrence was not copied from a heading.","you're","74","80","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0359","YOUR_YOURE","A small crowd waited near the noticeboard. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","71","75","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0360","YOUR_YOURE","The final clue appeared beneath a blue card. Without the missing ending, you're running could introduce more than one structure. The focus occurrence was not copied from a heading.","you're","73","79","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
