word_key,display_word,micro_skill_key,base_family_key,member_role,transformation,child_friendly_meaning,meaning_provenance,source_row_sha256,generator_sha256,reviewed_by,reviewed_at
bake_en_gb,bake,D4_MOR_BASE_WORDS_IDENTIFY_BASE,bake_base_family,base,,"to cook food using dry heat, usually in an oven",reviewed_source,799328112b607c0c49585da1f7c10c11afe612a2fc7bc40aab1c1b1126608160,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
baked_en_gb,baked,D4_MOR_BASE_WORDS_IDENTIFY_BASE,bake_base_family,authentic_target,,cooked in an oven earlier,generated_and_reviewed,32b444dfaedba8bd091c8d007edcf47158edbae5e075aaebef89b6dcb2a73e42,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
bed_en_gb,bed,D4_MOR_BASE_WORDS_IDENTIFY_BASE,bed_base_family,base,,a piece of furniture for sleeping,reviewed_source,1b7e981cf13af34a21f15ef3ea9fd6b8b32cf8f6e71f50b84d4263f735306128,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
big_en_gb,big,D4_MOR_BASE_WORDS_IDENTIFY_BASE,big_base_family,base,,large in size,reviewed_source,bd7b16766067864d56d62476872ff946ac5dbe9c53b21618ef672bf6d6751a23,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
bigger_en_gb,bigger,D4_MOR_BASE_WORDS_IDENTIFY_BASE,big_base_family,authentic_target,,larger in size,reviewed_source,7b8eb6e9400c447064c5504b53d9c2f4bc022c67fdb9d80f0e0a719456841b49,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
biggest_en_gb,biggest,D4_MOR_BASE_WORDS_IDENTIFY_BASE,big_base_family,authentic_target,,largest in size,reviewed_source,cd5b6b25ea62efa46a70bf0c4eff6027b0781f43eaf2e9fa561e1dacba58f631,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
book_en_gb,book,D4_MOR_BASE_WORDS_IDENTIFY_BASE,book_base_family,base,,a set of written or printed pages,reviewed_source,0ab23bab7acfb77e3acc06c61a5f4eeeca503ce97ba1ac302163f8e6a12daaa4,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
books_en_gb,books,D4_MOR_BASE_WORDS_IDENTIFY_BASE,book_base_family,authentic_target,,more than one book,reviewed_source,672fc757edaf26460d6fbedf90858f3b3d857d44f531b90d19f20657859ce152,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
brave_en_gb,brave,D4_MOR_BASE_WORDS_IDENTIFY_BASE,brave_base_family,base,,able to face something frightening or difficult,reviewed_source,9009c36b4249020f0b511f625df47ade0864d061c953e95601d3f11d42b98aa3,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
braver_en_gb,braver,D4_MOR_BASE_WORDS_IDENTIFY_BASE,brave_base_family,authentic_target,,more brave,reviewed_source,90e4b1a15491840a259c1096984a20f09f3691c09330004e1d0a737c0e908de0,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
bravest_en_gb,bravest,D4_MOR_BASE_WORDS_IDENTIFY_BASE,brave_base_family,authentic_target,,the most brave,reviewed_source,c0bb4ec0ff5f0037a90e769e4af1b5778b48d8c9186d1cb33358c965349e4478,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
busier_en_gb,busier,D4_MOR_BASE_WORDS_IDENTIFY_BASE,busy_base_family,authentic_target,change_final_y_to_i,having more to do,reviewed_source,3074a765f8a31a4e414cfd0095f577b463c0122fb9ada261cfe18369fec712b2,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
busiest_en_gb,busiest,D4_MOR_BASE_WORDS_IDENTIFY_BASE,busy_base_family,authentic_target,change_final_y_to_i,having the most to do,reviewed_source,6b3ac3ab8825ccdc16a50998e09f07de3e97f2a5d4c46d44310803b135f51d6b,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
busy_en_gb,busy,D4_MOR_BASE_WORDS_IDENTIFY_BASE,busy_base_family,base,,having a lot to do,reviewed_source,c52b213dc27010d2d58cf9e0e2b53c07e35ef2af88562ab6265f20b4e485a26b,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
car_en_gb,car,D4_MOR_BASE_WORDS_IDENTIFY_BASE,car_base_family,base,,a road vehicle that carries people,reviewed_source,0e51aac8a87226e41f95b3f9bbce0b68a3ea04685d7d0932073c5a4d135275dc,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
cars_en_gb,cars,D4_MOR_BASE_WORDS_IDENTIFY_BASE,car_base_family,authentic_target,,more than one car,reviewed_source,1a7f09bd8219ad62664a9db8be41c797a8bc1b2ddad2227d1ba3804292bb1a0d,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
care_en_gb,care,D4_MOR_BASE_WORDS_IDENTIFY_BASE,care_base_family,base,,to feel concern for someone or something,reviewed_source,0cd44f44ac61050a583ac4b035f0f51fcca9706462b3aac7c593bab23bfad94d,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
careful_en_gb,careful,D4_MOR_BASE_WORDS_IDENTIFY_BASE,care_base_family,authentic_target,,taking care to avoid mistakes or danger,reviewed_override,c7c03727f4888896385d6bcd18d6b6343d2b1e5d60c0809cd6ba66e6423a562e,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
careless_en_gb,careless,D4_MOR_BASE_WORDS_IDENTIFY_BASE,care_base_family,authentic_target,,without enough care,reviewed_override,7ed6fbe990a77b1ad60085b88027613394366382e0edd2e35d76e34d8dff6e33,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
carried_en_gb,carried,D4_MOR_BASE_WORDS_IDENTIFY_BASE,carry_base_family,authentic_target,change_final_y_to_i,held and moved something earlier,generated_and_reviewed,59427221e7b2272db7dd3b5ca303822da8e93804dbc1d07db3e03f538a7a7a43,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
carries_en_gb,carries,D4_MOR_BASE_WORDS_IDENTIFY_BASE,carry_base_family,authentic_target,change_final_y_to_i,holds and moves something,reviewed_source,4015034ad585ff158a538ef0d001b811cc4182fcb2bd9d7f9eb575509cf11430,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
carry_en_gb,carry,D4_MOR_BASE_WORDS_IDENTIFY_BASE,carry_base_family,base,,to hold and move something,reviewed_source,2d3f7c04c866a60e4166c93b8cdff976ccfa682043ae4ef86a5a213c0d65cc6b,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
cat_en_gb,cat,D4_MOR_BASE_WORDS_IDENTIFY_BASE,cat_base_family,base,,a small pet animal with fur and whiskers,reviewed_source,05352ce2e45997d4177c6334ef7e485d9aebc35e2a8e9dd863752426756ca084,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
cats_en_gb,cats,D4_MOR_BASE_WORDS_IDENTIFY_BASE,cat_base_family,authentic_target,,more than one cat,reviewed_source,175ec9b461e15ef5706f73643e220b905fb1322e9603e6dde3e347daa28a89e5,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
child_en_gb,child,D4_MOR_BASE_WORDS_IDENTIFY_BASE,child_base_family,base,,a young person,reviewed_source,2ff5da3645a8861200ae444a1dfbfcf1f8d172746eb45286bc6b06fcc6f97136,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
children_en_gb,children,D4_MOR_BASE_WORDS_IDENTIFY_BASE,child_base_family,authentic_target,,more than one child,reviewed_source,5371bb1c768d59418b28360a42cd49425ef217f4e15568ef5baa28dcf7cc5fc7,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
cities_en_gb,cities,D4_MOR_BASE_WORDS_IDENTIFY_BASE,city_base_family,authentic_target,change_final_y_to_i,more than one city,reviewed_source,dae720a158c7c81d53370b615dca3d70c67d8af986f7e471bca05d1c7a6b731e,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
city_en_gb,city,D4_MOR_BASE_WORDS_IDENTIFY_BASE,city_base_family,base,,a large town,reviewed_source,2fe07cfa4c5b1d4b5a303afe38a9c9f41cae08d9105caf26e2e3d7099a1378aa,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
clean_en_gb,clean,D4_MOR_BASE_WORDS_IDENTIFY_BASE,clean_base_family,base,,not dirty,reviewed_source,15fc7061195b9d7ffb2ec9f649542ba66557ed0536e35467c949bc359cefe31d,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
cleaned_en_gb,cleaned,D4_MOR_BASE_WORDS_IDENTIFY_BASE,clean_base_family,authentic_target,,made something clean earlier,generated_and_reviewed,b44177f9d70623a1f839673f0a5f5145d896c584e18f5125f7c6edab3653bd1a,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
copied_en_gb,copied,D4_MOR_BASE_WORDS_IDENTIFY_BASE,copy_base_family,authentic_target,change_final_y_to_i,made something like another thing earlier,generated_and_reviewed,431a3c17e00d6b65d6a1f1a8654d971242bed85fbb637248c852ec416a093952,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
copy_en_gb,copy,D4_MOR_BASE_WORDS_IDENTIFY_BASE,copy_base_family,base,,to make something like another thing,reviewed_source,01e53fe322727cadf9512b51d293ca50be400ff6661d114ddd2393352fd80c31,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
cried_en_gb,cried,D4_MOR_BASE_WORDS_IDENTIFY_BASE,cry_base_family,authentic_target,change_final_y_to_i,had tears come from your eyes earlier,generated_and_reviewed,0eb21b1ed9fc1c3147cb1e9d132c7e940152d3cc52f7c9a8f2cc22d51f9fd8b5,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
cries_en_gb,cries,D4_MOR_BASE_WORDS_IDENTIFY_BASE,cry_base_family,authentic_target,change_final_y_to_i,has tears come from their eyes,reviewed_source,b093a5157947f1d33885ef65bedafa9111ecc55a633b2649e017f41725e9626f,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
cry_en_gb,cry,D4_MOR_BASE_WORDS_IDENTIFY_BASE,cry_base_family,base,,to have tears come from your eyes,reviewed_source,71adafe7fefe53b55fe58f03e9f8970619332d6ef3a46dc48118730a4036b114,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
danger_en_gb,danger,D4_MOR_BASE_WORDS_IDENTIFY_BASE,danger_base_family,base,,the chance that someone or something may be harmed,reviewed_source,e3356cdecba814dd31facc74a5eccb36812f84cea1b3ffceeb640713c14b4ca3,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
dangerous_en_gb,dangerous,D4_MOR_BASE_WORDS_IDENTIFY_BASE,danger_base_family,authentic_target,,likely to cause harm,reviewed_source,cfe93a26a4b0b8d8cb32a8621e93285b2d6cee596f72e88d6602b675376687e3,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
define_en_gb,define,D4_MOR_BASE_WORDS_IDENTIFY_BASE,define_base_family,base,,to explain exactly what a word or idea means,reviewed_source,1d5a186a8e4335a7b2b19478ecbf77efa73c43de2a41301b2f0e3350ab303435,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
definition_en_gb,definition,D4_MOR_BASE_WORDS_IDENTIFY_BASE,define_base_family,authentic_target,,an explanation that tells what a word or idea means,reviewed_override,1d71db606013156e2d09974ff4d47680a7f2e5e1b3e40aec8786255194c06f90,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
die_en_gb,die,D4_MOR_BASE_WORDS_IDENTIFY_BASE,die_base_family,base,,to stop being alive,reviewed_source,10b3c13fb0a1de3abcd1db97d0eb270609c4d297d4b59e66773f9db6f8c7a01a,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
dying_en_gb,dying,D4_MOR_BASE_WORDS_IDENTIFY_BASE,die_base_family,authentic_target,,coming to the end of life,reviewed_source,bec5845c0ad5c68b561894768b7000d0bc97ce9683f6963b716b1925922e0e1c,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
dog_en_gb,dog,D4_MOR_BASE_WORDS_IDENTIFY_BASE,dog_base_family,base,,a pet animal that barks,reviewed_source,97772c3f274928060289299f1bde349059c101f14bf40f3ef8749e2f0bf518e2,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
dogs_en_gb,dogs,D4_MOR_BASE_WORDS_IDENTIFY_BASE,dog_base_family,authentic_target,,more than one dog,reviewed_source,99c1ff4fac3ba7ace340760e1e80bed0c8ac990c67dcd816b904d3dcfb8c3162,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
face_en_gb,face,D4_MOR_BASE_WORDS_IDENTIFY_BASE,face_base_family,base,,the front part of a person's head,reviewed_source,4e74ffb2c80b40c803d8fae631728b0ae1246081ec634dc71dd4994b8dfe254f,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
facial_en_gb,facial,D4_MOR_BASE_WORDS_IDENTIFY_BASE,face_base_family,authentic_target,,to do with the face,reviewed_source,6e182a1dbd5dfddebc096a4fc60d4302215fe017ffe2ab9a787d2ac159255be9,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
fair_en_gb,fair,D4_MOR_BASE_WORDS_IDENTIFY_BASE,fair_base_family,base,,treating people equally and properly,reviewed_source,26d89e73386ace291ec70c31e7b5b96c946ebeb9698a7298fc69a1ce548766ac,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
unfair_en_gb,unfair,D4_MOR_BASE_WORDS_IDENTIFY_BASE,fair_base_family,authentic_target,,not fair; not treating people equally or properly,reviewed_override,13ec12f660cabaa86c593cdd48ba92266e838e631404465ac43701238fda3ef9,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
fast_en_gb,fast,D4_MOR_BASE_WORDS_IDENTIFY_BASE,fast_base_family,base,,moving quickly,reviewed_source,7003ffe86f6100d42029a6c51072720fba0e6d90b1d269a925dbad9febbecbfb,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
faster_en_gb,faster,D4_MOR_BASE_WORDS_IDENTIFY_BASE,fast_base_family,authentic_target,,moving more quickly,reviewed_source,a674753eecf7f018aefa594a0a6e1b690249d51e4a588f1d186f83f7e29d6507,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
fastest_en_gb,fastest,D4_MOR_BASE_WORDS_IDENTIFY_BASE,fast_base_family,authentic_target,,moving most quickly,reviewed_source,cb704c651594f0d479130e26867aec3df8eaf261c722e480216ec5bbf0468468,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
foot_en_gb,foot,D4_MOR_BASE_WORDS_IDENTIFY_BASE,foot_base_family,base,,the part at the end of your leg that you stand on,reviewed_source,2045c9aa9952da5e28d352105014647c44ad7ab306b0033ca717cd899fe89e10,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
go_en_gb,go,D4_MOR_BASE_WORDS_IDENTIFY_BASE,go_base_family,base,,to move from one place to another,reviewed_source,3c07f9aff7a14dda68886fb321d41a39c35e68903b68a2339751247d49d74d56,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
goes_en_gb,goes,D4_MOR_BASE_WORDS_IDENTIFY_BASE,go_base_family,authentic_target,,moves from one place to another,reviewed_source,0a9a6fadad8e2a134084ef6a2ed834deb5f7f3dacdee3154cb657aad9ce605a6,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
grab_en_gb,grab,D4_MOR_BASE_WORDS_IDENTIFY_BASE,grab_base_family,base,,to take hold of something quickly,reviewed_source,6503923480448111c8620fc575baf0aaa973883c3a786c54474159db6fae375e,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
grabbed_en_gb,grabbed,D4_MOR_BASE_WORDS_IDENTIFY_BASE,grab_base_family,authentic_target,,took hold of something quickly earlier,generated_and_reviewed,604df1f4b4e0b71ed3924be24a9efa5fbf76810cebbe01f55840475bf2d7450d,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
geography_en_gb,geography,D4_MOR_BASE_WORDS_IDENTIFY_BASE,graph_base_family,authentic_target,,"learning about the Earth, its places, and its people",reviewed_override,4d092e3e665f164560ec8d4b021f28db1daf9485d18325e4a8eae31f9c6808fb,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
graph_en_gb,graph,D4_MOR_BASE_WORDS_IDENTIFY_BASE,graph_base_family,base,,a diagram that shows information,reviewed_source,b64cf17bffce0fa9d3978170f1b130ab34d2bc0db8f9501cc6e340ac277e1d01,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
graphic_en_gb,graphic,D4_MOR_BASE_WORDS_IDENTIFY_BASE,graph_base_family,authentic_target,,shown using pictures or diagrams,reviewed_source,4e569aff7d91bbfb9b0af1114fdcbb553259ddad3667d90d87e75d07e39818b5,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
photograph_en_gb,photograph,D4_MOR_BASE_WORDS_IDENTIFY_BASE,graph_base_family,transfer,,a picture made using light and a camera,reviewed_override,a9a2425ade1e9e3e556b33ed9bd345e79e842b3e15affcdc6a173ee60c553d9e,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
photography_en_gb,photography,D4_MOR_BASE_WORDS_IDENTIFY_BASE,graph_base_family,transfer,,the art of making pictures using light and a camera,reviewed_override,e80039913368002b271404e3359dfdd0b416846f008f39c1540d10dfc122e9b0,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
grow_en_gb,grow,D4_MOR_BASE_WORDS_IDENTIFY_BASE,grow_base_family,base,,to become bigger or develop,reviewed_source,fb4b098eb3b5de9dc10cba3377e4d0d59b5d19fb0d1817dd03c27aeb4d7566d5,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
grown_en_gb,grown,D4_MOR_BASE_WORDS_IDENTIFY_BASE,grow_base_family,authentic_target,,become bigger or developed,reviewed_source,d3927809b65720ba7b1dc6af78a3c894588807484a4cc8c59ba596159412ac12,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
happier_en_gb,happier,D4_MOR_BASE_WORDS_IDENTIFY_BASE,happy_base_family,authentic_target,change_final_y_to_i,feeling more pleased or glad,reviewed_source,3e2a2fa0720b544a8a3bfb51c3b63069015512257e00bd2cd6a699d263ada4ba,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
happiness_en_gb,happiness,D4_MOR_BASE_WORDS_IDENTIFY_BASE,happy_base_family,authentic_target,change_final_y_to_i,the state of being happy,reviewed_override,a31ddd12350592dedb7db69173c656420265f0475ae8599573ded7f312d441dd,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
happy_en_gb,happy,D4_MOR_BASE_WORDS_IDENTIFY_BASE,happy_base_family,base,,feeling pleased or glad,reviewed_source,d98ce1628faf29b4bc2725efed9d1324b4db185751aff02cabb574ea9181a63a,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
unhappy_en_gb,unhappy,D4_MOR_BASE_WORDS_IDENTIFY_BASE,happy_base_family,transfer,,not happy; feeling sad or not pleased,reviewed_override,f990e2f89410d93f0e02b9e772a218d9691dbae3291d0508c38779158c8ad075,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
help_en_gb,help,D4_MOR_BASE_WORDS_IDENTIFY_BASE,help_base_family,base,,to make something easier for someone,reviewed_source,9e5b939a2fccbe332b6be0bed1561bd4781b6e7d32f37c34e37f8c9c835dffe1,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
