cluster_key,micro_skill_key,catalog_display_name,skill_title,content_version,anchor_word,theme_key,word_bank_count,distractor_status,lesson_sequence,content_authored_status,content_reviewed_status,content_activated_status,schema_reconciliation_status,design_status,implementation_group,readiness_notes
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_AL,Spell words with suffix -al,The suffix -al,d4_mor_affix_word_lab_v3,musical,latin,4,present,dynamic_suffix_word_lab_v3,reviewed_production_package,human_approved_2026_07_28,production_enabled,dynamic_suffix_v3_al_production_receipt_2026_07_28,implemented_shared_runtime,suffix skills,Production batch 5fe55b1b-85d4-4d63-a5e6-1595b4d1f509 enabled the reviewed musical/national/personal/seasonal profile with no learner-data writes. The suffix gate is enabled; deployment dpl_62obz4E9TREgPV9f5dfanR4hHzG1 is Ready and the live route smoke passed.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_LY,Spell words with suffix -ly,The suffix -ly,d4_mor_affix_word_lab_v3,quickly,latin,4,present,dynamic_suffix_word_lab_v3,reviewed_production_package,human_approved_2026_07_28,production_enabled,dynamic_suffix_v3_ly_production_receipt_2026_07_28,implemented_shared_runtime,suffix skills,Production batch 338c204b-b1c7-4a17-a60d-c8b2e259c32c enabled the reviewed quickly/slowly/quietly/happily profile with no learner-data writes. The suffix gate is enabled; deployment dpl_GhSp6CvMgESfweWmmCCJWCQuSZ1X is Ready and the live route smoke passed.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_FUL_LESS,Spell words with suffixes -ful and -less,The suffixes -ful and -less,d4_mor_affix_word_lab_v3,careful,neutral,4,present,dynamic_suffix_word_lab_v3,reviewed_production_package,human_approved_2026_07_28,production_enabled,dynamic_suffix_v3_ful_less_production_receipt_2026_07_28,implemented_shared_runtime,suffix skills,Production batch 81547b52-0fd5-44d4-8e07-55a3565c04c8 enabled the reviewed four-member profile with no learner-data writes. The suffix gate is enabled; deployment dpl_7B2seUmXBffNRcMJsmAjkKScwppT is Ready and the live route smoke passed.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_ITY,Spell words with suffix -ity,The suffix -ity,d4_mor_affix_word_lab_v3,equality,latin,4,present,dynamic_suffix_word_lab_v3,reviewed_production_package,human_approved_2026_07_28,production_enabled,dynamic_suffix_v3_ity_production_receipt_2026_07_28,implemented_shared_runtime,suffix skills,Production batch 9c509ea0-76f7-43ae-814f-2a81bc703111 enabled the reviewed equality/possibility/responsibility/curiosity profile with no learner-data writes. The production gate is enabled; deployment dpl_2ySvCpDPzuRYc5mEBTPyrmihHhNX is Ready and the live route smoke passed.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_MENT,Spell words with suffix -ment,The suffix -ment,d4_mor_affix_word_lab_v3,enjoyment,latin,4,present,dynamic_suffix_word_lab_v3,reviewed_production_package,human_approved_2026_07_27,production_enabled,dynamic_suffix_v3_ment_production_receipt_2026_07_28,implemented_shared_runtime,suffix skills,Production batch dc5a3ee6-9cce-4f54-8592-269db0ea8225 promoted the reviewed four-member profile with no learner-data writes. The production gate is enabled; deployment dpl_5bPXxBtR4ffwqqiQYHSfJ9G4nxzj is Ready and the live route smoke passed.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_NESS,Spell words with suffix -ness,The suffix -ness,d4_mor_category_v1_2026_07_11,kindness,neutral,7,present,dynamic_suffix_word_lab_v3,category_v1_approved_source_frozen,human_approved_2026_07_11,production_enabled,dynamic_suffix_v3_ness_production_receipt_2026_07_27,implemented_shared_runtime,suffix skills,Production batch 71693a19-7553-4afb-abe0-dd15d0329bdd promoted the reviewed four-member profile with no learner-data writes. The production gate is enabled; final deployment dpl_9vMAtoWJ2YragUnLqWFW873BpVT8 is Ready and the live route smoke passed.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_OUS,Spell words with suffix -ous,The suffix -ous,d4_mor_affix_word_lab_v3,dangerous,latin,4,present,dynamic_suffix_word_lab_v3,reviewed_production_package,human_approved_2026_07_28,production_enabled,dynamic_suffix_v3_ous_production_receipt_2026_07_28,implemented_shared_runtime,suffix skills,Production batch 21fc81e3-4059-4a3c-b452-8a0088e28b99 enabled the reviewed dangerous/poisonous/famous/mysterious profile with no learner-data writes. The suffix gate is enabled; deployment dpl_ChCSn3iGuyU4ymrcoCPiujTH3afs is Ready and the live route smoke passed.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_SION,Spell words with suffix -sion,The suffix -sion,d4_mor_affix_word_lab_v3,decision,latin,4,present,dynamic_suffix_word_lab_v3,reviewed_production_package,human_approved_2026_07_29,production_enabled,dynamic_suffix_v3_sion_production_receipt_2026_07_29,implemented_shared_runtime,suffix skills,Child-approved 2026-07-29 following a guarded staging import and disposable 16-item proof. Production batch d5f11ec9-1b93-499f-9ed3-ffbe17b591ae enabled decision/division/confusion/expansion with no learner-data writes. The suffix gate is enabled; deployment dpl_Ar4QxewDxY64Lz1t2hSLjMF2Po9k is Ready and the live route smoke passed.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_TION,Spell words with suffix -tion,The suffix -tion,d4_mor_affix_word_lab_v3,invention,latin,4,present,dynamic_suffix_word_lab_v3,reviewed_production_package,human_approved_2026_07_29,production_enabled,dynamic_suffix_v3_tion_production_receipt_2026_07_29,implemented_shared_runtime,suffix skills,Child-approved 2026-07-29 following a 16-item disposable proof and revised introduction/reflection review. Production batch 7c468fef-c50c-4a17-a6b0-587793c2f96e enabled action/invention/education/celebration with no learner-data writes. The suffix gate is enabled; deployment dpl_4buaEgrUvNFYBm2WsfknLPcSd5X8 is Ready and the live route smoke passed.
D4_MOR_COMPOUND_WORDS,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,Spell joined compound words,Closed compound words,d4_mor_closed_compounds_v1,football,neutral,7,present,MICRO_READ_ONLY_INTRO>LESSON_WORDS_INTRO>MOR_COMPOUND_JIGSAW>MOR_COMPOUND_MEANING_CONNECTION>CONTROLLED_SPELLING>DICTATION_NO_IMAGE,reviewed_production_package,human_approved_2026_07_30,production_enabled,closed_compound_dictionary_profile_v1,implemented_closed_compound_word_lab_v1,compounds,Production batch 2f6db9a1-f844-4577-9631-c3740f6ea7ae enabled one reviewed dictionary-driven profile and seven explicit compound facts with no learner writes; deployment dpl_7QNw3SyH4weqWj573LT4LDDHHvUy is Ready.
D4_MOR_COMPOUND_WORDS,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,Spell separated and hyphenated compound words,Open and hyphenated compounds,d4_mor_category_v1_2026_07_11,ice cream,neutral,7,present,MICRO_READ_ONLY_INTRO>LESSON_WORDS_INTRO>MOR_STRIP_BUILD>MOR_MEANING_MATCH>MOR_BUILD_WORD>CONTROLLED_SPELLING>DICTATION_NO_IMAGE,profile_candidate_prepared,historical_source_reviewed_profile_specific_review_pending,not_activated,morphology_profile_package_v1_candidate,profile_candidate_prepared_disabled,compounds,Disabled four-word candidate prepared at data/adle/candidates/d4-mor-remaining-profiles/v1/; complete released dictionary facts and profile-specific review/proof remain required.
D4_MOR_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,Spell common Greek roots,Common Greek roots,d4_mor_category_v1_2026_07_11,telephone,greek,7,present,MICRO_READ_ONLY_INTRO>LESSON_WORDS_INTRO>MOR_STRIP_BUILD>MOR_MEANING_MATCH>MOR_BUILD_WORD>CONTROLLED_SPELLING>DICTATION_NO_IMAGE,profile_candidate_prepared,historical_source_reviewed_profile_specific_review_pending,not_activated,morphology_profile_package_v1_candidate,profile_candidate_prepared_disabled,roots,Disabled four-word candidate prepared at data/adle/candidates/d4-mor-remaining-profiles/v1/; complete released dictionary facts and profile-specific review/proof remain required.
D4_MOR_ROOTS,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,Spell common Latin roots,Common Latin roots,d4_mor_category_v1_2026_07_11,transport,latin,7,present,MICRO_READ_ONLY_INTRO>LESSON_WORDS_INTRO>MOR_STRIP_BUILD>MOR_MEANING_MATCH>MOR_BUILD_WORD>CONTROLLED_SPELLING>DICTATION_NO_IMAGE,profile_candidate_prepared,historical_source_reviewed_profile_specific_review_pending,not_activated,morphology_profile_package_v1_candidate,profile_candidate_prepared_disabled,roots,Disabled four-word candidate prepared at data/adle/candidates/d4-mor-remaining-profiles/v1/; complete released dictionary facts and profile-specific review/proof remain required.
D4_MOR_ROOTS,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,Use root families to support spelling,Root families keep their spelling,d4_mor_category_v1_2026_07_11,action,latin,7,present,MICRO_READ_ONLY_INTRO>LESSON_WORDS_INTRO>MOR_STRIP_BUILD>MOR_MEANING_MATCH>MOR_BUILD_WORD>CONTROLLED_SPELLING>DICTATION_NO_IMAGE,profile_candidate_prepared,historical_source_reviewed_profile_specific_review_pending,not_activated,morphology_profile_package_v1_candidate,profile_candidate_prepared_disabled,roots,Disabled four-word candidate prepared at data/adle/candidates/d4-mor-remaining-profiles/v1/; complete released dictionary facts and profile-specific review/proof remain required.
D4_MOR_ROOTS,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,Spell roots in science and maths words,Science and maths roots,d4_mor_category_v1_2026_07_11,thermometer,greek,7,present,MICRO_READ_ONLY_INTRO>LESSON_WORDS_INTRO>MOR_STRIP_BUILD>MOR_MEANING_MATCH>MOR_BUILD_WORD>CONTROLLED_SPELLING>DICTATION_NO_IMAGE,profile_candidate_prepared,historical_source_reviewed_profile_specific_review_pending,not_activated,morphology_profile_package_v1_candidate,profile_candidate_prepared_disabled,roots,Disabled four-word candidate prepared at data/adle/candidates/d4-mor-remaining-profiles/v1/; complete released dictionary facts and profile-specific review/proof remain required.
