word_key,normalised_word,syllables,letter_count,phoneme_count,syllable_points,length_points,irregularity_band,irregularity_points,morphology_depth,morphology_points,has_schwa,mismatch_flag,structural_score,complexity_level,frequency_band,age_band,irregularity_note_source,banding_version
away_en_gb,away,2,4,3,1,0,0,0,1,0,True,False,2,2,high,early_primary,,banding_v1.1_2026-07-04.preview
babies_en_gb,babies,2,6,5,1,1,1,2,1,0,False,False,4,2,high,early_primary,plural ies,banding_v1.1_2026-07-04.preview
baby_en_gb,baby,2,4,4,1,0,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
back_en_gb,back,1,4,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
bad_en_gb,bad,1,3,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,regular,banding_v1.1_2026-07-04.preview
badge_en_gb,badge,1,5,3,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
bake_en_gb,bake,1,4,3,0,0,0,0,1,0,False,False,0,1,medium,early_primary,,banding_v1.1_2026-07-04.preview
baked_en_gb,baked,1,5,4,0,1,0,0,1,0,False,False,1,1,medium,early_primary,,banding_v1.1_2026-07-04.preview
bank_en_gb,bank,1,4,4,0,0,0,0,1,0,False,False,0,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
basic_en_gb,basic,2,5,5,1,1,0,0,2,1,False,False,3,2,high,lower_secondary,,banding_v1.1_2026-07-04.preview
basket_en_gb,basket,2,6,6,1,1,0,0,1,0,False,False,2,2,high,early_primary,,banding_v1.1_2026-07-04.preview
bat_en_gb,bat,1,3,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,regular,banding_v1.1_2026-07-04.preview
bath_en_gb,bath,1,4,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,regular,banding_v1.1_2026-07-04.preview
beautiful_en_gb,beautiful,3,9,8,2,3,2,4,2,1,True,False,11,3,high,early_primary,longer high-frequency tricky word,banding_v1.1_2026-07-04.preview
because_en_gb,because,2,7,5,1,2,2,4,1,0,False,False,7,3,high,early_primary,longer high-frequency tricky word,banding_v1.1_2026-07-04.preview
bed_en_gb,bed,1,3,3,0,0,0,0,1,0,False,False,0,1,high,lower_secondary,regular,banding_v1.1_2026-07-04.preview
bedroom_en_gb,bedroom,2,7,6,1,2,0,0,2,1,False,False,4,2,high,early_primary,,banding_v1.1_2026-07-04.preview
bench_en_gb,bench,1,5,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,regular,banding_v1.1_2026-07-04.preview
best_en_gb,best,1,4,4,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
big_en_gb,big,1,3,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,regular,banding_v1.1_2026-07-04.preview
bigger_en_gb,bigger,2,6,4,1,1,0,0,2,1,True,False,4,2,high,early_primary,,banding_v1.1_2026-07-04.preview
biggest_en_gb,biggest,2,7,6,1,2,0,0,2,1,True,False,5,2,high,early_primary,,banding_v1.1_2026-07-04.preview
bike_en_gb,bike,1,4,3,0,0,1,2,1,0,False,False,2,2,high,early_primary,split digraph i-e,banding_v1.1_2026-07-04.preview
biology_en_gb,biology,4,7,7,3,2,0,0,3,2,True,False,8,3,high,lower_secondary,,banding_v1.1_2026-07-04.preview
bird_en_gb,bird,1,4,3,0,0,0,0,1,0,False,False,0,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
black_en_gb,black,1,5,4,0,1,0,0,1,0,False,False,1,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
blue_en_gb,blue,1,4,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
board_en_gb,board,1,5,3,0,1,0,0,1,0,False,False,1,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
boat_en_gb,boat,1,4,3,0,0,1,2,1,0,True,False,3,2,high,middle_primary,long oa with oa,banding_v1.1_2026-07-04.preview
boil_en_gb,boil,1,4,3,0,0,0,0,1,0,False,False,0,1,medium,middle_primary,,banding_v1.1_2026-07-04.preview
bolt_en_gb,bolt,1,4,4,0,0,0,0,1,0,True,False,1,1,high,lower_secondary,,banding_v1.1_2026-07-04.preview
bomb_en_gb,bomb,1,4,3,0,0,0,0,1,0,False,False,0,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
bombard_en_gb,bombard,2,7,6,1,2,0,0,1,0,True,False,4,2,low,upper_primary,,banding_v1.1_2026-07-04.preview
book_en_gb,book,1,4,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
books_en_gb,books,1,5,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
bosom_en_gb,bosom,2,5,5,1,1,0,0,1,0,True,False,3,2,medium,lower_secondary,,banding_v1.1_2026-07-04.preview
bottle_en_gb,bottle,2,6,5,1,1,0,0,1,0,True,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
bowl_en_gb,bowl,1,4,3,0,0,0,0,1,0,True,False,1,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
boxes_en_gb,boxes,2,5,6,1,1,1,2,1,0,False,False,4,2,high,early_primary,plural es,banding_v1.1_2026-07-04.preview
boy_en_gb,boy,1,3,2,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
brave_en_gb,brave,1,5,4,0,1,0,0,1,0,False,False,1,1,high,middle_primary,regular,banding_v1.1_2026-07-04.preview
braver_en_gb,braver,2,6,5,1,1,0,0,2,1,True,False,4,2,low,early_primary,,banding_v1.1_2026-07-04.preview
bravest_en_gb,bravest,2,7,7,1,2,0,0,2,1,True,False,5,2,medium,early_primary,,banding_v1.1_2026-07-04.preview
break_en_gb,break,1,5,4,0,1,1,2,1,0,False,False,3,2,high,middle_primary,long ai with ea,banding_v1.1_2026-07-04.preview
bridge_en_gb,bridge,1,6,4,0,1,0,0,1,0,False,False,1,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
bright_en_gb,bright,1,6,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
brochure_en_gb,brochure,2,8,5,1,2,0,0,1,0,True,True,5,2,medium,upper_primary,,banding_v1.1_2026-07-04.preview
brown_en_gb,brown,1,5,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
bruise_en_gb,bruise,1,6,4,0,1,0,0,1,0,False,False,1,1,medium,middle_primary,,banding_v1.1_2026-07-04.preview
brush_en_gb,brush,1,5,4,0,1,0,0,1,0,False,False,1,1,high,upper_primary,regular,banding_v1.1_2026-07-04.preview
bubble_en_gb,bubble,2,6,5,1,1,0,0,1,0,True,False,3,2,high,upper_primary,,banding_v1.1_2026-07-04.preview
build_en_gb,build,1,5,4,0,1,2,4,1,0,False,False,5,2,high,early_primary,common high-frequency tricky word,banding_v1.1_2026-07-04.preview
burn_en_gb,burn,1,4,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
buses_en_gb,buses,2,5,5,1,1,0,0,1,0,False,False,2,2,high,early_primary,,banding_v1.1_2026-07-04.preview
busier_en_gb,busier,2,6,5,1,1,0,0,2,1,True,False,4,2,low,early_primary,,banding_v1.1_2026-07-04.preview
busiest_en_gb,busiest,2,7,6,1,2,0,0,2,1,True,False,5,2,medium,early_primary,,banding_v1.1_2026-07-04.preview
business_en_gb,business,2,8,6,1,2,2,4,1,0,True,False,8,3,high,middle_primary,common high-frequency tricky word,banding_v1.1_2026-07-04.preview
busy_en_gb,busy,2,4,4,1,0,2,4,1,0,False,False,5,2,high,middle_primary,common high-frequency tricky word,banding_v1.1_2026-07-04.preview
button_en_gb,button,2,6,5,1,1,0,0,1,0,True,False,3,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
buzz_en_gb,buzz,1,4,3,0,0,1,2,1,0,False,False,2,2,high,early_primary,final zz after short vowel,banding_v1.1_2026-07-04.preview
cage_en_gb,cage,1,4,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
cake_en_gb,cake,1,4,3,0,0,1,2,1,0,False,False,2,2,high,lower_secondary,split digraph a-e,banding_v1.1_2026-07-04.preview
calendar_en_gb,calendar,3,8,7,2,2,1,2,1,0,True,False,7,3,high,lower_secondary,final unstressed ar,banding_v1.1_2026-07-04.preview
called_en_gb,called,1,6,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
calm_en_gb,calm,1,4,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
came_en_gb,came,1,4,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
camera_en_gb,camera,2,6,5,1,1,0,0,1,0,True,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
camp_en_gb,camp,1,4,4,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
can_t_en_gb,can't,1,4,4,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
candle_en_gb,candle,2,6,6,1,1,0,0,1,0,True,False,3,2,medium,early_primary,,banding_v1.1_2026-07-04.preview
cap_en_gb,cap,1,3,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,regular,banding_v1.1_2026-07-04.preview
car_en_gb,car,1,3,2,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
care_en_gb,care,1,4,2,0,0,0,0,1,0,True,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
careful_en_gb,careful,2,7,5,1,2,1,2,2,1,True,False,7,3,high,early_primary,suffix ful,banding_v1.1_2026-07-04.preview
careless_en_gb,careless,2,8,5,1,2,0,0,2,1,True,True,6,3,medium,early_primary,,banding_v1.1_2026-07-04.preview
carried_en_gb,carried,2,7,5,1,2,0,0,1,0,False,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
carries_en_gb,carries,2,7,5,1,2,0,0,1,0,False,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
carry_en_gb,carry,2,5,4,1,1,2,4,1,0,False,False,6,3,high,middle_primary,remembered double letter word,banding_v1.1_2026-07-04.preview
cars_en_gb,cars,1,4,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
castle_en_gb,castle,2,6,5,1,1,0,0,1,0,True,False,3,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
cat_en_gb,cat,1,3,3,0,0,0,0,1,0,False,False,0,1,high,middle_primary,regular,banding_v1.1_2026-07-04.preview
catch_en_gb,catch,1,5,3,0,1,0,0,1,0,False,False,1,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
cats_en_gb,cats,1,4,4,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
ceiling_en_gb,ceiling,2,7,5,1,2,0,0,1,0,False,False,3,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
cent_en_gb,cent,1,4,4,0,0,1,2,1,0,False,False,2,2,high,early_primary,soft c before e,banding_v1.1_2026-07-04.preview
chain_en_gb,chain,1,5,3,0,1,0,0,1,0,False,False,1,1,high,middle_primary,regular,banding_v1.1_2026-07-04.preview
chalet_en_gb,chalet,2,6,4,1,1,0,0,1,0,False,False,2,2,medium,lower_secondary,,banding_v1.1_2026-07-04.preview
chance_en_gb,chance,1,6,4,0,1,0,0,1,0,False,False,1,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
change_en_gb,change,1,6,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
chat_en_gb,chat,1,4,3,0,0,0,0,1,0,False,False,0,1,high,middle_primary,regular,banding_v1.1_2026-07-04.preview
cheer_en_gb,cheer,1,5,3,0,1,0,0,1,0,True,False,2,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
cheese_en_gb,cheese,1,6,3,0,1,0,0,1,0,False,True,2,2,high,upper_primary,,banding_v1.1_2026-07-04.preview
chef_en_gb,chef,1,4,3,0,0,0,0,1,0,False,False,0,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
chemist_en_gb,chemist,2,7,6,1,2,1,2,2,1,False,False,6,3,medium,upper_primary,Greek ch for k,banding_v1.1_2026-07-04.preview
cheque_en_gb,cheque,1,6,3,0,1,0,0,1,0,False,True,2,2,medium,lower_secondary,,banding_v1.1_2026-07-04.preview
chew_en_gb,chew,1,4,3,0,0,0,0,1,0,False,False,0,1,medium,early_primary,,banding_v1.1_2026-07-04.preview
chief_en_gb,chief,1,5,3,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
child_en_gb,child,1,5,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
children_en_gb,children,2,8,7,1,2,0,0,1,0,True,False,4,2,high,early_primary,,banding_v1.1_2026-07-04.preview
chin_en_gb,chin,1,4,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,regular,banding_v1.1_2026-07-04.preview
chip_en_gb,chip,1,4,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,regular,banding_v1.1_2026-07-04.preview
chocolate_en_gb,chocolate,2,9,6,1,3,0,0,1,0,True,True,6,3,high,early_primary,,banding_v1.1_2026-07-04.preview
chop_en_gb,chop,1,4,3,0,0,0,0,1,0,False,False,0,1,medium,middle_primary,regular,banding_v1.1_2026-07-04.preview
chorus_en_gb,chorus,2,6,5,1,1,0,0,1,0,True,False,3,2,medium,middle_primary,,banding_v1.1_2026-07-04.preview
churches_en_gb,churches,2,8,5,1,2,0,0,1,0,False,True,4,2,high,early_primary,,banding_v1.1_2026-07-04.preview
circle_en_gb,circle,2,6,5,1,1,1,2,1,0,True,False,5,2,high,early_primary,soft c before i,banding_v1.1_2026-07-04.preview
cities_en_gb,cities,2,6,5,1,1,1,2,1,0,False,False,4,2,high,early_primary,plural ies,banding_v1.1_2026-07-04.preview
city_en_gb,city,2,4,4,1,0,1,2,1,0,False,False,3,2,high,early_primary,soft c before i,banding_v1.1_2026-07-04.preview
clap_en_gb,clap,1,4,4,0,0,0,0,1,0,False,False,0,1,medium,middle_primary,,banding_v1.1_2026-07-04.preview
clay_en_gb,clay,1,4,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,regular,banding_v1.1_2026-07-04.preview
clean_en_gb,clean,1,5,4,0,1,0,0,1,0,False,False,1,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
cleaned_en_gb,cleaned,1,7,5,0,2,0,0,1,0,False,False,2,2,high,early_primary,,banding_v1.1_2026-07-04.preview
cliff_en_gb,cliff,1,5,4,0,1,1,2,1,0,False,False,3,2,high,early_primary,final ff after short vowel,banding_v1.1_2026-07-04.preview
climb_en_gb,climb,1,5,4,0,1,2,4,1,0,False,False,5,2,high,early_primary,silent mb,banding_v1.1_2026-07-04.preview
cloth_en_gb,cloth,1,5,4,0,1,0,0,1,0,False,False,1,1,high,lower_secondary,regular,banding_v1.1_2026-07-04.preview
cloud_en_gb,cloud,1,5,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
coat_en_gb,coat,1,4,3,0,0,0,0,1,0,True,False,1,1,high,early_primary,regular,banding_v1.1_2026-07-04.preview
coin_en_gb,coin,1,4,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
cold_en_gb,cold,1,4,4,0,0,0,0,1,0,True,False,1,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
comb_en_gb,comb,1,4,3,0,0,0,0,1,0,True,False,1,1,medium,middle_primary,,banding_v1.1_2026-07-04.preview
combustion_en_gb,combustion,3,10,9,2,3,0,0,2,1,True,False,7,3,medium,lower_secondary,,banding_v1.1_2026-07-04.preview
comma_en_gb,comma,2,5,4,1,1,0,0,1,0,True,False,3,2,medium,early_primary,,banding_v1.1_2026-07-04.preview
community_en_gb,community,4,9,9,3,3,0,0,2,1,True,False,8,3,high,middle_primary,,banding_v1.1_2026-07-04.preview
complete_en_gb,complete,2,8,7,1,2,0,0,1,0,True,False,4,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
confusion_en_gb,confusion,3,9,9,2,3,1,2,2,1,True,False,9,3,high,middle_primary,final sion,banding_v1.1_2026-07-04.preview
copied_en_gb,copied,2,6,5,1,1,1,2,1,0,False,False,4,2,medium,early_primary,past tense y to i,banding_v1.1_2026-07-04.preview
copy_en_gb,copy,2,4,4,1,0,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
corn_en_gb,corn,1,4,3,0,0,0,0,1,0,False,False,0,1,high,mid_secondary,,banding_v1.1_2026-07-04.preview
cot_en_gb,cot,1,3,3,0,0,0,0,1,0,False,False,0,1,medium,later_review,regular,banding_v1.1_2026-07-04.preview
cough_en_gb,cough,1,5,3,0,1,2,4,1,0,False,False,5,2,medium,middle_primary,gh for f,banding_v1.1_2026-07-04.preview
could_en_gb,could,1,5,3,0,1,2,4,1,0,False,False,5,2,high,early_primary,ould word,banding_v1.1_2026-07-04.preview
court_en_gb,court,1,5,3,0,1,0,0,1,0,False,False,1,1,high,lower_secondary,,banding_v1.1_2026-07-04.preview
cow_en_gb,cow,1,3,2,0,0,0,0,1,0,False,False,0,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
crab_en_gb,crab,1,4,4,0,0,0,0,1,0,False,False,0,1,medium,upper_primary,,banding_v1.1_2026-07-04.preview
creature_en_gb,creature,2,8,5,1,2,1,2,1,0,True,True,7,3,high,middle_primary,final ture,banding_v1.1_2026-07-04.preview
cried_en_gb,cried,1,5,4,0,1,1,2,1,0,False,False,3,2,high,early_primary,past tense y to i,banding_v1.1_2026-07-04.preview
cries_en_gb,cries,1,5,4,0,1,0,0,1,0,False,False,1,1,medium,early_primary,,banding_v1.1_2026-07-04.preview
cry_en_gb,cry,1,3,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
cube_en_gb,cube,1,4,4,0,0,1,2,1,0,False,False,2,2,medium,middle_primary,split digraph u-e,banding_v1.1_2026-07-04.preview
cup_en_gb,cup,1,3,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
cute_en_gb,cute,1,4,4,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
cycle_en_gb,cycle,2,5,5,1,1,0,0,1,0,True,False,3,2,high,lower_secondary,,banding_v1.1_2026-07-04.preview
dance_en_gb,dance,1,5,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
danger_en_gb,danger,2,6,5,1,1,0,0,1,0,True,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
dangerous_en_gb,dangerous,3,9,8,2,3,1,2,2,1,True,False,9,3,high,early_primary,suffix ous,banding_v1.1_2026-07-04.preview
darkness_en_gb,darkness,2,8,6,1,2,0,0,2,1,True,False,5,2,high,early_primary,,banding_v1.1_2026-07-04.preview
day_en_gb,day,1,3,2,0,0,0,0,1,0,False,False,0,1,high,early_primary,regular,banding_v1.1_2026-07-04.preview
debt_en_gb,debt,1,4,3,0,0,2,4,1,0,False,False,4,2,high,upper_primary,silent b/t,banding_v1.1_2026-07-04.preview
decision_en_gb,decision,3,8,7,2,2,1,2,2,1,True,False,8,3,high,middle_primary,final sion,banding_v1.1_2026-07-04.preview
deer_en_gb,deer,1,4,3,0,0,0,0,1,0,True,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
define_en_gb,define,2,6,5,1,1,0,0,1,0,False,False,2,2,high,lower_secondary,,banding_v1.1_2026-07-04.preview
definition_en_gb,definition,4,10,9,3,3,0,0,2,1,True,False,8,3,high,mid_secondary,,banding_v1.1_2026-07-04.preview
design_en_gb,design,2,6,5,1,1,0,0,1,0,False,False,2,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
desk_en_gb,desk,1,4,4,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
die_en_gb,die,1,3,2,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
different_en_gb,different,2,9,7,1,3,1,2,2,1,True,False,8,3,high,early_primary,medial weak vowel,banding_v1.1_2026-07-04.preview
dig_en_gb,dig,1,3,3,0,0,0,0,1,0,False,False,0,1,high,mid_secondary,regular,banding_v1.1_2026-07-04.preview
dinner_en_gb,dinner,2,6,4,1,1,1,2,1,0,True,False,5,2,high,middle_primary,medial doubled consonant,banding_v1.1_2026-07-04.preview
disappear_en_gb,disappear,3,9,7,2,3,1,2,2,1,True,False,9,3,high,early_primary,prefix dis,banding_v1.1_2026-07-04.preview
dish_en_gb,dish,1,4,3,0,0,0,0,1,0,False,False,0,1,high,lower_secondary,regular,banding_v1.1_2026-07-04.preview
dislike_en_gb,dislike,2,7,6,1,2,0,0,2,1,False,False,4,2,medium,middle_primary,,banding_v1.1_2026-07-04.preview
division_en_gb,division,3,8,7,2,2,0,0,2,1,True,False,6,3,high,middle_primary,,banding_v1.1_2026-07-04.preview
do_en_gb,do,1,2,2,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
doctor_en_gb,doctor,2,6,5,1,1,1,2,1,0,True,False,5,2,high,middle_primary,final unstressed or,banding_v1.1_2026-07-04.preview
doe_en_gb,doe,1,3,2,0,0,0,0,1,0,True,False,1,1,medium,middle_primary,,banding_v1.1_2026-07-04.preview
does_en_gb,does,1,4,3,0,0,2,4,1,0,False,False,4,2,high,early_primary,irregular function word,banding_v1.1_2026-07-04.preview
dog_en_gb,dog,1,3,3,0,0,0,0,1,0,False,False,0,1,high,mid_secondary,regular,banding_v1.1_2026-07-04.preview
dogs_en_gb,dogs,1,4,4,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
dollar_en_gb,dollar,2,6,4,1,1,0,0,1,0,True,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
don_t_en_gb,don't,1,4,4,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
donkey_en_gb,donkey,2,6,5,1,1,0,0,1,0,False,False,2,2,medium,early_primary,,banding_v1.1_2026-07-04.preview
doubt_en_gb,doubt,1,5,3,0,1,2,4,1,0,False,False,5,2,high,upper_primary,silent b/t,banding_v1.1_2026-07-04.preview
down_en_gb,down,1,4,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
draw_en_gb,draw,1,4,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
dress_en_gb,dress,1,5,4,0,1,0,0,1,0,False,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
duck_en_gb,duck,1,4,3,0,0,0,0,1,0,False,False,0,1,high,upper_primary,,banding_v1.1_2026-07-04.preview
dying_en_gb,dying,1,5,4,0,1,1,2,1,0,False,False,3,2,high,middle_primary,ing ie to y,banding_v1.1_2026-07-04.preview
early_en_gb,early,2,5,3,1,1,0,0,1,0,False,False,2,2,high,early_primary,,banding_v1.1_2026-07-04.preview
earth_en_gb,earth,1,5,2,0,1,0,0,1,0,False,True,2,2,high,early_primary,,banding_v1.1_2026-07-04.preview
echo_en_gb,echo,2,4,3,1,0,0,0,1,0,True,False,2,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
edge_en_gb,edge,1,4,2,0,0,0,0,1,0,False,False,0,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
