source_ref,source_sheet,source_row,micro_skill_key,word_or_content_key,candidate_output_ref,validation_result,transformation_code,source_value,generated_candidate_value,reason,human_confirmation_required,warning_or_error_codes,human_review_status
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!3,Micro Skill Content,3,D4_MOR_BASE_WORDS_PRESERVE_BASE,,D4_MOR_BASE_WORDS_PRESERVE_BASE::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_BASE_WORDS_PRESERVE_BASE,D4_MOR_BASE_WORDS_PRESERVE_BASE::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!4,Micro Skill Content,4,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!5,Micro Skill Content,5,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!6,Micro Skill Content,6,D4_MOR_PREFIXES_UN,,D4_MOR_PREFIXES_UN::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_PREFIXES_UN,D4_MOR_PREFIXES_UN::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!7,Micro Skill Content,7,D4_MOR_PREFIXES_RE_PRE,,D4_MOR_PREFIXES_RE_PRE::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_PREFIXES_RE_PRE,D4_MOR_PREFIXES_RE_PRE::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!8,Micro Skill Content,8,D4_MOR_PREFIXES_DIS_MIS,,D4_MOR_PREFIXES_DIS_MIS::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_PREFIXES_DIS_MIS,D4_MOR_PREFIXES_DIS_MIS::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!9,Micro Skill Content,9,D4_MOR_PREFIXES_IN_IM_IL_IR,,D4_MOR_PREFIXES_IN_IM_IL_IR::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_PREFIXES_IN_IM_IL_IR,D4_MOR_PREFIXES_IN_IM_IL_IR::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!10,Micro Skill Content,10,D4_MOR_PREFIXES_SUB_INTER_SUPER,,D4_MOR_PREFIXES_SUB_INTER_SUPER::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_PREFIXES_SUB_INTER_SUPER,D4_MOR_PREFIXES_SUB_INTER_SUPER::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!11,Micro Skill Content,11,D4_MOR_SUFFIXES_NESS,,D4_MOR_SUFFIXES_NESS::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_SUFFIXES_NESS,D4_MOR_SUFFIXES_NESS::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!12,Micro Skill Content,12,D4_MOR_SUFFIXES_FUL_LESS,,D4_MOR_SUFFIXES_FUL_LESS::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_SUFFIXES_FUL_LESS,D4_MOR_SUFFIXES_FUL_LESS::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!13,Micro Skill Content,13,D4_MOR_SUFFIXES_MENT,,D4_MOR_SUFFIXES_MENT::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_SUFFIXES_MENT,D4_MOR_SUFFIXES_MENT::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!14,Micro Skill Content,14,D4_MOR_SUFFIXES_OUS,,D4_MOR_SUFFIXES_OUS::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_SUFFIXES_OUS,D4_MOR_SUFFIXES_OUS::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!15,Micro Skill Content,15,D4_MOR_SUFFIXES_ITY,,D4_MOR_SUFFIXES_ITY::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_SUFFIXES_ITY,D4_MOR_SUFFIXES_ITY::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!16,Micro Skill Content,16,D4_MOR_SUFFIXES_AL,,D4_MOR_SUFFIXES_AL::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_SUFFIXES_AL,D4_MOR_SUFFIXES_AL::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!17,Micro Skill Content,17,D4_MOR_SUFFIXES_ABLE_IBLE,,D4_MOR_SUFFIXES_ABLE_IBLE::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_SUFFIXES_ABLE_IBLE,D4_MOR_SUFFIXES_ABLE_IBLE::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!18,Micro Skill Content,18,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!19,Micro Skill Content,19,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!20,Micro Skill Content,20,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!21,Micro Skill Content,21,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!22,Micro Skill Content,22,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,,D4_MOR_ROOTS_COMMON_LATIN_ROOTS::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,D4_MOR_ROOTS_COMMON_LATIN_ROOTS::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!23,Micro Skill Content,23,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!24,Micro Skill Content,24,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!25,Micro Skill Content,25,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!2,Morpheme Glosses,2,,,prefix_UN,pass,direct_mapping,un,prefix_UN,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!3,Morpheme Glosses,3,,,prefix_RE,pass,direct_mapping,re,prefix_RE,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!4,Morpheme Glosses,4,,,prefix_PRE,pass,direct_mapping,pre,prefix_PRE,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!5,Morpheme Glosses,5,,,prefix_DIS,pass,direct_mapping,dis,prefix_DIS,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!6,Morpheme Glosses,6,,,prefix_MIS,pass,direct_mapping,mis,prefix_MIS,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!7,Morpheme Glosses,7,,,prefix_IN,pass,direct_mapping,in,prefix_IN,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!8,Morpheme Glosses,8,,,prefix_IM,pass,direct_mapping,im,prefix_IM,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!9,Morpheme Glosses,9,,,prefix_IL,pass,direct_mapping,il,prefix_IL,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!10,Morpheme Glosses,10,,,prefix_IR,pass,direct_mapping,ir,prefix_IR,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!11,Morpheme Glosses,11,,,prefix_SUB,pass,direct_mapping,sub,prefix_SUB,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!12,Morpheme Glosses,12,,,prefix_INTER,pass,direct_mapping,inter,prefix_INTER,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!13,Morpheme Glosses,13,,,prefix_SUPER,pass,direct_mapping,super,prefix_SUPER,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!14,Morpheme Glosses,14,,,prefix_TRANS,pass,direct_mapping,trans,prefix_TRANS,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!15,Morpheme Glosses,15,,,suffix_NESS,pass,direct_mapping,ness,suffix_NESS,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!16,Morpheme Glosses,16,,,suffix_FUL,pass,direct_mapping,ful,suffix_FUL,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!17,Morpheme Glosses,17,,,suffix_LESS,pass,direct_mapping,less,suffix_LESS,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!18,Morpheme Glosses,18,,,suffix_MENT,pass,direct_mapping,ment,suffix_MENT,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!19,Morpheme Glosses,19,,,suffix_OUS,pass,direct_mapping,ous,suffix_OUS,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!20,Morpheme Glosses,20,,,suffix_ITY,pass,direct_mapping,ity,suffix_ITY,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!21,Morpheme Glosses,21,,,suffix_AL,pass,direct_mapping,al,suffix_AL,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!22,Morpheme Glosses,22,,,suffix_ABLE,pass,direct_mapping,able,suffix_ABLE,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!23,Morpheme Glosses,23,,,suffix_IBLE,pass,direct_mapping,ible,suffix_IBLE,Reusable morpheme identity mapped directly.,FALSE,,human_review_required
