prompt_key,category,title,task_intro,prompt_text,top_tip,category_top_tip,reuse_policy,editorial_status,publication_status,content_version,release_reference,original_source_fingerprint,source_reference,review_decision,review_notes,reviewed_by,reviewed_on
STORY-08,Silly Stories,A Completely Useless Superpower,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.","You wake up with a superpower. Unfortunately, it seems completely useless. By the end of the day, you discover exactly why it matters.",Make the power funny at first. Then create a problem where that exact strange ability becomes surprisingly useful.,"A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,3b154f1e5a585ae18fab6cd747bcb7becd21f8c8943f6c23a5b426398fa8f05d,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-09,Silly Stories,You're Hired!,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.",An animal arrives for a job interview and is absolutely certain it is the perfect person for the job. Tell us about the interview.,Choose a job that is a terrible match for the animal. Let the animal explain why each apparent weakness is actually a brilliant qualification.,"A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,6300b0284127f80612ec8572e7231123cc24c979b28bb6c7039fc90008c50826,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-10,Silly Stories,The New Door,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.",A door appears in a familiar place where there definitely was not a door yesterday. Everyone tells you not to open it.,Build curiosity before opening the door. Decide what your character expects — then surprise them.,"A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,9797b3a69aa1c75becee653fc026ac933bd8429eae09639a70be0916c46bec31,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
FU-01,Fortunately / Unfortunately,The Treasure Map,"Fortunately / Unfortunately is a story that keeps changing direction.

Begin with the prompt. Then alternate between good news and bad news:

Fortunately... something helpful happens.
Unfortunately... a new problem appears.
Fortunately... things improve again.

Keep switching until you reach an ending.","You find an old treasure map hidden inside a library book.

Start with: Fortunately, the map showed that the treasure was very close...",Make each solution create the next problem.,Every new sentence should change the situation. Do not simply say something is good or bad — make something actually happen because of it.,once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,6cf5c733d3b72cad504b8a3e6fd6a7ae7dcd8163227872269932eb6f489be992,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
FU-02,Fortunately / Unfortunately,The School Trip Goes Wrong,"Fortunately / Unfortunately is a story that keeps changing direction.

Begin with the prompt. Then alternate between good news and bad news:

Fortunately... something helpful happens.
Unfortunately... a new problem appears.
Fortunately... things improve again.

Keep switching until you reach an ending.","Your class sets off on what should be the best school trip ever.

Start with: Fortunately, we arrived exactly on time...",Use each Fortunately sentence to rescue the characters — then let Unfortunately spoil the rescue.,Every new sentence should change the situation. Do not simply say something is good or bad — make something actually happen because of it.,once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,cf2b454cad9f278474fa4ae287947b6c651390f1cf6a9d1612e41e305ccfed87,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
FU-03,Fortunately / Unfortunately,The Dog Who Followed Me Home,"Fortunately / Unfortunately is a story that keeps changing direction.

Begin with the prompt. Then alternate between good news and bad news:

Fortunately... something helpful happens.
Unfortunately... a new problem appears.
Fortunately... things improve again.

Keep switching until you reach an ending.","A very friendly dog begins following you home.

Start with: Fortunately, the dog seemed to know exactly where it was going...",Let the dog's behaviour solve problems as often as it causes them.,Every new sentence should change the situation. Do not simply say something is good or bad — make something actually happen because of it.,once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,2b807d9674824a936a9f2dd5864a98ddfb6234e9dbab8f6af355ef02f1918d54,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
FU-04,Fortunately / Unfortunately,The Cake Disaster,"Fortunately / Unfortunately is a story that keeps changing direction.

Begin with the prompt. Then alternate between good news and bad news:

Fortunately... something helpful happens.
Unfortunately... a new problem appears.
Fortunately... things improve again.

Keep switching until you reach an ending.","You are responsible for getting an enormous birthday cake safely to a party.

Start with: Fortunately, the cake looked perfect...","Use physical problems: doors, weather, transport, animals or people in the way.",Every new sentence should change the situation. Do not simply say something is good or bad — make something actually happen because of it.,once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,f527884b26b944b6fc0421def325bb5cb232edeaa08e30133ab35ad75a3beb38,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
FU-05,Fortunately / Unfortunately,After Closing Time,"Fortunately / Unfortunately is a story that keeps changing direction.

Begin with the prompt. Then alternate between good news and bad news:

Fortunately... something helpful happens.
Unfortunately... a new problem appears.
Fortunately... things improve again.

Keep switching until you reach an ending.","You realise everyone has gone home and you are locked inside a museum.

Start with: Fortunately, I still had my phone...","Let the setting create your twists. Think about exhibits, alarms, guards and strange noises.",Every new sentence should change the situation. Do not simply say something is good or bad — make something actually happen because of it.,once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,5da54153659d615c83dd41e79dc80d042ff6e8fa3c41719791a71f8c8cea1828,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
FU-06,Fortunately / Unfortunately,The Impossible Final,"Fortunately / Unfortunately is a story that keeps changing direction.

Begin with the prompt. Then alternate between good news and bad news:

Fortunately... something helpful happens.
Unfortunately... a new problem appears.
Fortunately... things improve again.

Keep switching until you reach an ending.","Your team reaches the final, but everything starts going wrong.

Start with: Fortunately, we scored first...",Keep changing who seems most likely to win until the very end.,Every new sentence should change the situation. Do not simply say something is good or bad — make something actually happen because of it.,once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,0b8488f3cfd43220cbc9560ba979a2529478ba2039bba528a690b2e32ac46597,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
FU-07,Fortunately / Unfortunately,Mission to Mars-ish,"Fortunately / Unfortunately is a story that keeps changing direction.

Begin with the prompt. Then alternate between good news and bad news:

Fortunately... something helpful happens.
Unfortunately... a new problem appears.
Fortunately... things improve again.

Keep switching until you reach an ending.","You are on your first space mission when the computer announces that the spacecraft is going somewhere unexpected.

Start with: Fortunately, we had plenty of fuel...",Make every new problem require a clever decision rather than pure luck.,Every new sentence should change the situation. Do not simply say something is good or bad — make something actually happen because of it.,once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,a993127fc9ecaeebeaccf0dbcb2b2bb743f426310b3e6f6fb2aa3ec892b10f6c,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
FU-08,Fortunately / Unfortunately,The Pet With a Secret,"Fortunately / Unfortunately is a story that keeps changing direction.

Begin with the prompt. Then alternate between good news and bad news:

Fortunately... something helpful happens.
Unfortunately... a new problem appears.
Fortunately... things improve again.

Keep switching until you reach an ending.","Your family brings home a new pet. On the first night, you discover it can do something impossible.

Start with: Fortunately, nobody else had noticed yet...",Decide the pet's secret ability first and use it repeatedly in different ways.,Every new sentence should change the situation. Do not simply say something is good or bad — make something actually happen because of it.,once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,886215b89e260afd6d677002d1d228bb29e2c3b54bc54bcaf0dbe28d939ed417,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-01,Persuasion,Should Homework Be Banned?,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can. Write a letter to a headmaster explaining your case. Dear Headmaster, …. ",Should children have homework after a full day at school?,"Think about learning, free time, family life and whether all homework is equally useful.","Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,67c4e97b456ebe4df847c2c4ddd05b7d414b80f759ad95fd5cfcc08b90852fa7,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-02,Persuasion,Who Should Choose Bedtime?,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can. Write a letter to your mummy or daddy persuading them to see things the way that you do. Dear Mummy / Daddy, …",Should children be allowed to choose their own bedtime?,"Consider freedom, responsibility, sleep and what happens the next morning.","Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,e79a129eea31713959c8e3bb1234b6706f2b570de2c05b59ea1eaa96d2e630d8,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-03,Persuasion,Every Home Needs a Pet,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can. Write a letter to your mummy or daddy persuading them to see things the way that you do. Dear Mummy / Daddy, …",Should every home have an animal that kids help to look after?,"Consider responsibility and enjoyment, but also allergies, cost, holidays and animal welfare.","Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,8e34f33dab7b8050686ae4301bb1ff3d388d3a2ac1d5efa59799725fd80995ca,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-04,Persuasion,The Three-Day Weekend,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can. Write a letter to your teacher whether that is your parent or school teacher persuading them to see things the way that you do. Dear Mummy / Daddy, …",Should the school week be four longer days instead of five normal days?,Compare the benefits of an extra day off with what longer school days might feel like.,"Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,a847cfbc619f0e95b17b7f2475a781cc15c527829a608127dbe5b1ae6bf9c67e,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-05,Persuasion,Robot Teachers?,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can. You are writing to the Minister of Education in the government. Dear Minister, …",Should robots or AI be allowed to teach some school lessons?,Think about what technology might do brilliantly and what a human teacher can do that a machine may struggle with.,"Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,1403ce2f692cdaa4d0ee91bb7fb9e2c0a214f8130d23697b94364079f8bed3b5,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-06,Persuasion,Car-Free Town Centres,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can. Write a letter to your Mayor persuading them to see things the way that you do. Dear Mayor ….",Should cars be banned from busy town centres?,"Think about safety, pollution and pleasant streets, but also deliveries, disabilities and people who need to travel.","Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,cf96a5e77e58d4e861b1afb977c922dda1f2162937c8f0a3db342e671424c668,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-07,Persuasion,Should Pocket Money Be Earned?,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can. Write a letter to your mummy or daddy persuading them to see things the way that you do. Dear Mummy / Daddy, …",Should children have to do jobs at home to earn pocket money?,Think about responsibility and fairness. Are some household jobs simply part of being in a family?,"Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,a02a02db3bdb3887b3de58443e7966a892b63e56ce039154a449071a36805d13,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-08,Persuasion,"More Break, Less Lesson?","Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can. Write a letter to the Minster of Education in the government persuading them to see things the way that you do. Dear Minister …",Should schools shorten lessons so children can have longer breaktimes?,"Consider concentration, exercise, friendships and how much learning time would be lost.","Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,bc22ad3fd559dd204184eeeedc22f19bfecc5983fa73123945384fcddf41b41b,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-09,Persuasion,Should Zoos Exist?,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can Choose an adult to write to. Dear ….",Should zoos continue to exist?,Consider conservation and education as well as animal freedom and welfare. This is a good prompt for acknowledging a strong opposing argument.,"Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,4ea16d5deb5ce0a28adf6f2be15abc6f9915727f32f1c3764024b30c53273dac,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
PERSUADE-10,Persuasion,Is Gaming a Sport?,"Persuasion means trying to convince somebody.

Choose a clear position, then give your strongest reasons. A powerful argument also thinks about what somebody on the other side might say.

You do not have to choose the answer you think an adult would prefer. You need to make the strongest case you can Write a letter to the Minister of Education persuading them to see things the way that you do. Dear Minister, …",Should competitive video gaming count as a sport?,First decide what you think makes something a sport. Then test gaming against your own definition.,"Use this simple structure:

My position: say exactly what you think.

My reasons: give two or three strong reasons.

An example: show why one reason matters.

The other side: mention a reasonable objection.

My reply: explain why you still think your position is stronger.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,df5e0a9f55f628c1b19963490a019290b2ac945cb47559dbe1f9e89780d97768,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
